entry_id,mechanism_id,smarts,mech_atoms,enzyme_name,uniprot_id,ec
50,1,[H+:22].[O:18]=[C:11]([O-:17])[c:5]1[cH:10][c:16](=[O:20])[nH:12][c:6](=[O:13])[n:2]1[CH:1]1[O:3][CH:7]([CH2:14][O:19][P:21](=[O:24])([O-:22])[O-:23])[CH:8]([OH:15])[CH:4]1[OH:9]>>O=C=O.O=c1ccn(C2OC(COP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1,"[[], [5, 11, 17]]",orotidine-5'-phosphate decarboxylase,P25971,4.1.1.23
50,3,[O:18]=[C:11]([O-:17])[c:5]1[cH:10][c:16](=[O:20])[nH:12][c:6](=[O:13])[n:2]1[CH:1]1[O:3][CH:7]([CH2:14][O:19][P:21](=[O:24])([O-:22])[O-:23])[CH:8]([OH:15])[CH:4]1[OH:9]>>O=C=O.O=c1ccn(C2OC(COP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1,"[[5, 11, 17, 10]]",orotidine-5'-phosphate decarboxylase,P25971,4.1.1.23
50,2,[O:18]=[C:11]([O-:17])[c:5]1[cH:10][c:16](=[O:20])[nH:12][c:6](=[O:13])[n:2]1[CH:1]1[O:3][CH:7]([CH2:14][O:19][P:21](=[O:24])([O-:22])[O-:23])[CH:8]([OH:15])[CH:4]1[OH:9]>>O=C=O.O=c1ccn(C2OC(COP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1,"[[5, 11, 17, 10, 16, 20]]",orotidine-5'-phosphate decarboxylase,P25971,4.1.1.23
