id,smarts,krids
12,[CH3;D1;+0:1]-[N;H0;D3;+0:2](-[CH3;D1;+0:3])-[C:4]-[C:5]=[O;D1;H0:6].[C:7]-[S;H0;D2;+0:8]-[C:9].[C:10]-[S;H0;D2;+0:11]-[C:12]>>[C:7]-[S+;H0;D3:8](-[C:9])-[CH3;D1;+0:1].[C:10]-[S+;H0;D3:11](-[C:12])-[CH3;D1;+0:3].[NH2;D1;+0:2]-[C:4]-[C:5]=[O;D1;H0:6],['0828e2314bfd6a8965915b37a0897d1ce36e70e8']
13,[C:1]-[S;H0;D2;+0:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;D1;H0:5].[NH2;D1;+0:6]-[C:7]-[C:8]=[O;D1;H0:9]>>[C;D1;H3:4]-[C;H0;D3;+0:3](=[O;D1;H0:5])-[NH;D2;+0:6]-[C:7]-[C:8]=[O;D1;H0:9].[C:1]-[SH;D1;+0:2],"['eac11d7162140c651702675e97dfb05016216b08', '5ae70f0316d67eedb3799ca7fa2da82855bd3714', 'a84d5ced12a79851bf0af1139df296e4f2fe3a22', '04ca4a73ab690ef84b9e4f50045f234f15f1d425', 'ecc0db6715420190f3ca949568e7ded89018bd4b', 'ddd56960489d92fbc9f626152295c3d87459ada9']"
14,[C:1]-[S+;H0;D3:2](-[C:3])-[CH3;D1;+0:4].[C:5]-[S+;H0;D3:6](-[C:7])-[CH3;D1;+0:8].[NH2;D1;+0:9]-[C:10]-[C:11]=[O;D1;H0:12]>>[CH3;D1;+0:4]-[N;H0;D3;+0:9](-[CH3;D1;+0:8])-[C:10]-[C:11]=[O;D1;H0:12].[C:1]-[S;H0;D2;+0:2]-[C:3].[C:5]-[S;H0;D2;+0:6]-[C:7],['9cc02a25aa3f708da221b60e64e1888abbdc0498']
15,[#7:1]-[C:2](=[O;D1;H0:3])-[C:4]-[NH;D2;+0:5]-[C;H0;D3;+0:6](-[C;D1;H3:7])=[O;D1;H0:8].[C:9]-[SH;D1;+0:10]>>[#7:1]-[C:2](=[O;D1;H0:3])-[C:4]-[NH2;D1;+0:5].[C:9]-[S;H0;D2;+0:10]-[C;H0;D3;+0:6](-[C;D1;H3:7])=[O;D1;H0:8],"['8aaa6a97691d6cb2046ec9732ed2704151740488', '858a2b7bb1b85d19da466d7e435589c8273d9841', '24e378d4a81abebde3f17174e39145f511e9dcc7', '1a8382c878d681cda8bd5ebbcc568962cbeeaca4', '6137e59c991144e9a331865960f0c30b5b774f74', '811b607dcafc8f872338bd442ba684cfc0b61b93', '383fff5316a7f037399e2a8ca5dab3a60bc1afef', 'a0040a2da26f87345048b3be1b10315c6edda798', '9961afcfd42d7eaf9e681c30ae5e5574cb9bc8e6', 'f48ecaf18be4a986479de01645a668cc33d38ff1', '5691ae42871623dfee5750faa0d39c88c6006def', '984327fcec8aff953dda310b29c242f86a930a2f', '4cc3db6e16f995285032d6731f2ada1be41eb5da', 'bdcadf7fb8dc4db014b5f555f2838ef1e0697021', 'dec2f89ea67ad2b80b2c7cd2a161f9b9c7951338']"
16,[#7:1]-[C:2](=[O;D1;H0:3])-[C:4]-[NH2;D1;+0:5].[C:6]-[S;H0;D2;+0:7]-[C;H0;D3;+0:8](-[C;D1;H3:9])=[O;D1;H0:10]>>[#7:1]-[C:2](=[O;D1;H0:3])-[C:4]-[NH;D2;+0:5]-[C;H0;D3;+0:8](-[C;D1;H3:9])=[O;D1;H0:10].[C:6]-[SH;D1;+0:7],"['d10080e1ce713e18bd0a757c1500d193e36eabee', '9cac231b08fa0f7d08ab701c561ad4c0d16beb80', 'c9ac373308a68aa9f04122ebf31ce8d83b574923', '84b7f7002736e82600dcc8c3ebc4ab961d279453', 'c1cded54c2c71d7693885f6438b48d3d7ac4c693', '18006a09adcad2dd38a79be9469517bb46ce0999', '64c2de3a8cddcb32053195c2db067313721ad7f9', 'bf45cb0b1ef5b6fcdc6fe9c7326b0c0c04b6f01c', '6d5748cd976e4789301d539f6dd008f48ea142bf', 'f65b766c40f61e31f387ccda68b161423595e09f', '0a0834c9f304b566740a296b461da9de99925570', '2c0692b2f09bb0c88a43e0d21191672cd8270269', '5b3eb0d4884ddf8e3e5f456188a989b0a4b15f3b', 'b39af973b12be604d30b9457fde90f1f884c4edf', '2826d18ad84107e46b592abbb35f090b7aeb76fc']"
17,[C;D1;H3:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[NH;D2;+0:4]-[C:5]-[C:6]=[O;D1;H0:7].[C:8]-[SH;D1;+0:9]>>[C:8]-[S;H0;D2;+0:9]-[C;H0;D3;+0:2](-[C;D1;H3:1])=[O;D1;H0:3].[NH2;D1;+0:4]-[C:5]-[C:6]=[O;D1;H0:7],"['1c0f3daad893612f3a238ed15b33b6eefcf61cc6', 'f65aff0a4dca5aec64ac91d3f9408dfc11e97e55', '5fb75aab74f3df7aa83f46bda1d3e30751c79d26', '99bc6a55bdf91bcd199d4a199e1b15016531f9b3', '27bd08f6b323186ce18c62aa48e7bf2d3ceb1c80', '017027abe83e602f405f5f103075c50965180d3f']"
18,[#7:1]-[C:2](=[O;D1;H0:3])-[C:4]-[NH2;D1;+0:5].[C:6]-[S+;H0;D3:7](-[C:8])-[CH3;D1;+0:9]>>[#7:1]-[C:2](=[O;D1;H0:3])-[C:4]-[NH;D2;+0:5]-[CH3;D1;+0:9].[C:6]-[S;H0;D2;+0:7]-[C:8],"['2a1f0e5914876692a05083941caf245f760e8462', 'fc4a26ac0d780f7bd9e69137cda90d3ff93ecefa']"
19,[#7:1]-[C:2](=[O;D1;H0:3])-[C:4]-[NH;D2;+0:5]-[CH3;D1;+0:6].[C:7]-[S;H0;D2;+0:8]-[C:9]>>[#7:1]-[C:2](=[O;D1;H0:3])-[C:4]-[NH2;D1;+0:5].[C:7]-[S+;H0;D3:8](-[C:9])-[CH3;D1;+0:6],"['3223ff98d69e6033e82e3385d3ae42c819da0241', '3ab0b2c90554adb3fea1ebff1fe53d181b8e4368']"
20,[#7:1]-[C:2](=[O;D1;H0:3])-[C:4]-[NH;D2;+0:5]-[C:6].[C:7]-[S+;H0;D3:8](-[C:9])-[CH3;D1;+0:10]>>[#7:1]-[C:2](=[O;D1;H0:3])-[C:4]-[N;H0;D3;+0:5](-[CH3;D1;+0:10])-[C:6].[C:7]-[S;H0;D2;+0:8]-[C:9],['31e7790f9e57343d3adf2a1f75f730f8cb1ea73a']
21,[#7:1]-[C:2](=[O;D1;H0:3])-[C:4]-[N;H0;D3;+0:5](-[CH3;D1;+0:6])-[C:7].[C:8]-[S;H0;D2;+0:9]-[C:10]>>[#7:1]-[C:2](=[O;D1;H0:3])-[C:4]-[NH;D2;+0:5]-[C:7].[C:8]-[S+;H0;D3:9](-[C:10])-[CH3;D1;+0:6],['8cd8922b79e7c9dcc00006fe7c679522b0b5c846']
22,[O;D1;H0:1]=[CH;D2;+0:2]-[NH;D2;+0:3]-[C:4]-[C:5]=[O;D1;H0:6].[OH2;D0;+0:7]>>[NH2;D1;+0:3]-[C:4]-[C:5]=[O;D1;H0:6].[O;D1;H0:1]=[CH;D2;+0:2]-[OH;D1;+0:7],['ec7efbf70ba503686669cbbf73709cda973b2d3d']
23,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[NH;D2;+0:4]-[C:5]-[C:6]=[O;D1;H0:7].[C:8]-[SH;D1;+0:9]>>[C:8]-[S;H0;D2;+0:9]-[C;H0;D3;+0:2](-[C:1])=[O;D1;H0:3].[NH2;D1;+0:4]-[C:5]-[C:6]=[O;D1;H0:7],"['ad363e654ee330815a144f34f8b417a5ac7eb91e', '91d98aec3df506c7fcdd13cf0e77245c08bd4c6a']"
24,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[OH;D1;+0:4].[NH3;D0;+0:5]>>[C:1]-[C;H0;D3;+0:2](-[NH2;D1;+0:5])=[O;D1;H0:3].[OH2;D0;+0:4],"['9e0e35d4f51820cc8475246f15d0044a352e389e', '152c0a36dafafe0eca20ea33eb677dc86310bd16', '0649e84bf4fe69eea357494aafe38b058e7c744e', '8f4c1f2f9d81679c8cdabb669ed6b5801b2ece5e', '6b20ee8fbaba9ad66f6cee129743b8c676638ae5', '3d67d6417f17578ff2f0047a5a25308ba2fa10a5', 'abb305d789a6db7852360388e7381bf9864ce2e0', '0addbd123bdac96567015f5b625141f48bf1a3bf', '0cd633d5ce89a58eaa927cedb5853a25189c645f', '56ad2c8b6da53b59fbaa0b8ad9d4ddeee5ee199a', '5292aae9843104b3d6a89e3f9a46287d9443455b', '349b2e77f88d4bdff4cf2553d2622762f41eb3dc', '5833c61d6fefe079849cd0578abbe6b45ce11361', 'e867b4926d380342fbd1a69386f266a87e5b6b67', '65811e8f335c44b20b754e3cb91431e3620bf3bd', 'a49278d4b7587a07eb85b9b0c499a2fbe4ac8112', '6eb3f97b0c6335706ff619bd3082bb475e7e0485', '88fbb6ce8555cb778e7c1b612dc66e8e55c3295d', 'bb01faa1ce5d3c13b2cf6ea6cb0bfcf0a4160a60', '839ed0757fcda311429e43e479c851473f76c949', '9c2c9b91052fbee6fb4daba3a509286fba807363', '3dbfe4f2903e8aab0675ba52705e983a1fe729da', '55fe6d5fde7dfe76eccfc4648696eab4803c8bd7', 'f12866856058ed0e2959eabaf7cd53bf75677390', '884379477f8477c3171e2b56b59c7b93ff930a14']"
25,[C:1]-[C;H0;D3;+0:2](-[NH2;D1;+0:3])=[O;D1;H0:4].[OH2;D0;+0:5]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:4])-[OH;D1;+0:5].[NH3;D0;+0:3],"['636bab7c9d426d9afcc5d03897d924c25fe03413', 'f77f1617c35a5cb67c0acc5b5ed733a8e147067d', 'dd2c59a798092c4aa01393f67a6f9dbf90114c87', 'a3e1d5f50dba74d45ce783e3d005abe3bb0e638e', 'e55f65834e3e721b0b886dc8119a2c3ee311dc7a', '555bfaba7db52304b0487a2252ed35e019d11666', 'ccda7ba18839f701237458c7967691b70dfd93bc', '5e166d306b053ae4c38675c46f8a655a037531f6', '840b5b3111f4bf18f8401279f4f28275f3939dc6', '187f8956189f9aee95622961da87b77eb690dc86', 'f23428e26733962250aacd4c398565382f55eba2', '219c8a89abe7819600f45a351ea83cca980b7ae6', 'a898395fd0e9d820bad1d66c248398411e9559d1', '46329e73a4fe7322f8a49e897896162c81dc24cd', '77727936a3343b43adfb008ede55d18709a08c99', '21b89dd662dcb2cf80199d58bcca747c67bffb94', 'f0628141b0dd00f3ac95016fdd98ce9ce4eb94c8', '7f238a8ce023d1f7ee1898695bdac27c7d1864f1', 'c4cc72bd681942fa8ea947b1dee310840b7fc996', '5f817ca9e0895b01f1163593121bae616b7181e3', 'c3ed8942c4710724f83114b7ec8542f79bfa8b6a', '3c4de629fb285a64c9fb0c654a2a8955ddba2963', '265020813600d73b432046ef6085a9631f48414e', 'accd923375f55dfbc936671176ba157472aba1b6', '8b067a26d9f55d2ac9d13b34e9905ac033824aa1']"
26,[C:1]-[C;H0;D3;+0:2](-[NH2;D1;+0:3])=[O;D1;H0:4].[NH2;D1;+0:5]-[C:6]-[C:7]=[O;D1;H0:8]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:4])-[NH;D2;+0:5]-[C:6]-[C:7]=[O;D1;H0:8].[NH3;D0;+0:3],['9d26732000c64ef1455f6a8cf27570bd73d732a4']
