id,smarts,krids
188,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C:12]-[CH;D3;+0:13](-[OH;D1;+0:14])-[C:15]-[C:16]=[C:17]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C:12]-[C;H0;D3;+0:13](=[O;H0;D1;+0:14])-[C:15]-[C:16]=[C:17],"['5dc086620428667522ba5bee90f090151c20f45c', 'be0351fbb2d17bbab85a2664e330f978fd954bc3', 'ebc77fe231381a1a4018e0756ebbb78ee1389b0d', 'a2d3384d2f48c61c5889fb0a8e046db5fb41471d', '8d7bd958600b4219792567df4c85bc2fbd69cf0a', '21da11f41b6b9102bef60dc0562f12642d6b4b28', '3da65cdfa1a29efe01c38f1a8f0b49fe2c9979dc', 'fa0158feff116537e8491f5c65c62db529730dad']"
189,[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10])=[CH;D2;+0:11]-1.[C:12]-[C;H0;D3;+0:13](=[CH;D2;+0:14]-[C:15]=[O;D1;H0:16])-[C:17]>>[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10]):[cH;D2;+0:11]:1.[C:12]-[CH;D3;+0:13](-[C:17])-[CH2;D2;+0:14]-[C:15]=[O;D1;H0:16],"['fc97306bfa5275a68cb6d114f9da44314a556f1c', '1a2caba0735a6ad947abf94b7eb259f8404243e3', '2f59acb8133123654d889e8b36c0dcef36645950', '9c317f4c4a8fe6ff7832295dd546eac3aac1dc10', '407005622225ce145ea61e75273a80f06a351ca5', 'caea955027e89ce94c86cc240edb5a460be8e02e', '93ca17b9f685c14675cf9baa18e85bfda5e77281', '5663b65e5a784f8e1735d90c0716038c53e1fdcf', '71462ddcb508b54ff7512c97ec8ff6980d5f7a6d', '5f2775c8f4fd58f14af364de88727b9ff1f4c52b', 'bee4ced0b7ed8c54180810462942092621caa7a8', 'ea6b4d259ae9644e3cf2000f23ed76648022fb15', 'eb54decff9f907444af7135005ae52592b0382d7', 'd6201b8305190b51221f78cc91d9f0ab79ca3234', '887f6437fac498616a7a275eb408079ee8c5a6fe', 'fcd8678bf5e549d5a26aa34f3485bc53e1657aa4', '002798c136ff9fed9d19881262bd416e483c552e', '80aa84c91a5b2634e43be3258ba960cb1cc33001']"
190,[C:1]-[C;H0;D3;+0:2](=[CH;D2;+0:3]-[C:4]=[O;D1;H0:5])-[CH2;D2;+0:6]-[C:7]>>[C:1]-[C;H0;D3;+0:2](=[CH;D2;+0:6]-[C:7])-[CH2;D2;+0:3]-[C:4]=[O;D1;H0:5],"['c67bc380817d37faeb2f07c5aff954316585b91f', 'bd597b1045d8470d29a76277807f20e60e256d8e', '3d37df647a1edba71e843e36b280807d2f32aa2a']"
191,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C:12]-[CH;D3;+0:13](-[OH;D1;+0:14])-[CH;D3;+0:15](-[C;H0;D3;+0:16](=[O;D1;H0:17])-[OH;D1;+0:18])-[C:19]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C:12]-[C;H0;D3;+0:13](=[O;H0;D1;+0:14])-[CH2;D2;+0:15]-[C:19].[O;D1;H0:17]=[C;H0;D2;+0:16]=[O;H0;D1;+0:18],"['c84cc6b8a9b804244196d6d942b2bb8691848ec2', '3507457d5c25c9e5d412bac276489b2e93b3d037', '8ac87e0ffb71dfe70f89d961e6783c073e7556bc', '612d943c190776796d23b9628cbfc8e38b245315', 'dad20754dbaa5a45c01ad74fc53e46a8d8d0709c', 'b2a030c3e540e624aa8b78a601221c38f7a9b92d']"
192,[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10])=[CH;D2;+0:11]-1.[C:12]-[CH2;D2;+0:13]-[C;H0;D3;+0:14](=[O;H0;D1;+0:15])-[C:16].[O;D1;H0:17]=[C;H0;D2;+0:18]=[O;H0;D1;+0:19]>>[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10]):[cH;D2;+0:11]:1.[C:12]-[CH;D3;+0:13](-[C;H0;D3;+0:18](=[O;D1;H0:17])-[OH;D1;+0:19])-[CH;D3;+0:14](-[OH;D1;+0:15])-[C:16],"['f1a03dfe06e552abf5a6383cd048960f04274c9f', 'de82f39ccbc5893dc07c60290965174352883dfa', '71a3820dc1870f0810ab42ad77f7745a654ec395', 'eb8190dc6e06dab4b176a27849edda9cdbefb25e', '8b7de515fe21cb3c3369b867b979a9b60b674379', 'a53030bd4420f4e2cf6f6d197af96589d339af88']"
193,[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[C:12]-[CH;D3;+0:13](-[C:14])-[CH2;D2;+0:15]-[C:16]=[O;D1;H0:17]>>[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[C:12]-[C;H0;D3;+0:13](=[CH;D2;+0:15]-[C:16]=[O;D1;H0:17])-[C:14],"['f3f12069f88344ba2775386d26650b5c31ef263d', 'd04ab62569b8e17a4dc084f786ac013a750c87db', '1bfea5a887c8a1da83b104d0dba709a44391d6e6', '310c2604bc202ba76e21d09a696e2700ea83730d', 'd7763f8d29801d2c680afe6824a923b609856bee', 'c3cae1fe6682ccb5213228845f9813eddfabb898', '2ad2b4a0ac140c89450e4006388de2b61f022536', 'c6eaeb2ef2a5f4a1c31ef925ce40ffa4e3052620', 'b2ef2c006ddf8ca241776f89cb5c06ab2bae3e42', 'b5eeffeaa7350b58e6906ff75f6bef3957c49d8a', '3960ce4f591669bf8db4907830af4401c1c692fc', 'e60682a976cb4a9221f6e339aa07fe592aaf66e3', '13113609c87098acc70446d455035d689bf826d7', 'd23922a11e3a8e4b26dbfca45599b1b1ca3e048c', '613fc706b0828f9449968ff8ea08281d7cb10778', 'ab9166fa4e06d0917bdba74b2ed8f3e029c29f12', 'e9d69e18278788b5d850cb8b8641b59d0be42d94', '6a626e36fd56845c2d9bee8cbe6652822a0875b9']"
194,[*;D1;H0:1]-[CH;D3;+0:2](-[C:3])-[O;H0;D2;+0:4]-[C:5]=[O;D1;H0:6].[OH2;D0;+0:7]>>[*;D1;H0:1]-[CH;D3;+0:2](-[C:3])-[OH;D1;+0:7].[O;D1;H0:6]=[C:5]-[OH;D1;+0:4],['a034dc7d991c19172444043123c85f79a5341aa7']
195,[#8:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C:4].[#8:5]-[C:6]-[N;H0;D3;+0:7]1-[CH;D2;+0:8]=[CH;D2;+0:9]-[CH2;D2;+0:10]-[C;H0;D3;+0:11](-[C:12](-[N;D1;H2:13])=[O;D1;H0:14])=[CH;D2;+0:15]-1>>[#8:1]-[CH;D3;+0:2](-[OH;D1;+0:3])-[C:4].[#8:5]-[C:6]-[n+;H0;D3:7]1:[cH;D2;+0:8]:[cH;D2;+0:9]:[cH;D2;+0:10]:[c;H0;D3;+0:11](-[C:12](-[N;D1;H2:13])=[O;D1;H0:14]):[cH;D2;+0:15]:1,"['c561560319322f4875b4ec29bbc83260882728c5', '632c78455bc081d18835287db5ebdcaec7b483f5', '1272acc30ab20ff187f47b175e9c44d6fdf53c9f', '2783eb8237b96abf66b86e5369980a56be0516bb', '09dea6bef5a942041c3052dd02ee084ed30cf494', '4b79bbe3c3708e1d0f4e253d1c6ebfc606be85d5', '38501b4ffb6877973e47a34cc3aac571105f441b', '0874646dc5e1ed9436890b96f26231353d34ebe9', 'a5989bd67c8a1db96d79669a783f3c6762f886b3', '11434a4ee8e54bab7267d59a95ad64d0fcb3fc52', 'a8a127eecb03a8703c2eb054dd54ceda1a1e89de', 'bd785467bf617401a4b344b35017843a77760667', 'f39c8b12e63c91ffde576e5002ca0aeb57bfe466', '043df375c6e05960bfa3a8e321e1bd84c715cf4a', '823527f69fa5854c489fbf4911c5185126458bb1', 'e3f2503cbf7e0cff77bc60664439dd3ab11ead07', 'abec78d1e23ee715bb2633e163a6f5ad510fc38e']"
196,[#8:1]-[C:2]-[CH;D3;+0:3]1-[C:4]-[#8:5]-[#15:6]-[O;H0;D2;+0:7]-1.[OH2;D0;+0:8]>>[#8:1]-[C:2]-[CH;D3;+0:3](-[OH;D1;+0:8])-[C:4]-[#8:5]-[#15:6]-[OH;D1;+0:7],"['e0df8a79c5dd7e9a63c9c852083d3e56f3fb6863', '47b8f8f1ebf9da3daad1bb44ad95e9d8a22c3e18', '487f49d9e16fb3071ebf823c0fb7c476b7a78b6b', '87533e50f37c6d92e856056c189cde8de3b1716f', 'cce085cb0d87dc89cb2f6e0e93ac10a0cc0094e7', '04a30cd8f867b57619746399f4a03a3d8e70e311', '4e8bd1444568c859499cd429bb580f43faf6c97b', '936a839c05ccfc991afb3e2b4d888dab8a0088de', '9c46f35cd4612afa78dce92033e614bace4f5527', 'b181f2331621759460fc4c27bbeef8d059524dfa']"
197,[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[O;D1;H1:6].[#15:7]-[OH;D1;+0:8].[#8:9]-[C:10]-[CH2;D2;+0:11]-[OH;D1;+0:12]>>[#15:7]-[O;H0;D2;+0:8]-[CH2;D2;+0:11]-[C:10]-[#8:9].[#15:1]-[OH;D1;+0:2].[#8:4]-[P;H0;D4;+0:3](=[O;D1;H0:5])(-[O;D1;H1:6])-[OH;D1;+0:12],['2419391c14f1f551100dd6a0a02a34d6dec99990']
198,[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:3](-[#8:4])(=[O;D1;H0:5])-[O;D1;H1:6].[#7;a:7]1:[c:8]:[nH;D2;+0:9]:[c:10]:[c:11]:1>>[#15:1]-[OH;D1;+0:2].[#8:4]-[P;H0;D4;+0:3](=[O;D1;H0:5])(-[O;D1;H1:6])-[n;H0;D3;+0:9]1:[c:10]:[c:11]:[#7;a:7]:[c:8]:1,"['39f9e69c9293da60f4e690b966016ffb790c6e35', '4dbb67609aa1a037ed119ff3a33d94df2babaad0', '4e9c92183a846574b3a30eb017f5c0f8c7ccba4b']"
199,[#15:1]-[OH;D1;+0:2].[#8:3]-[CH;D3;+0:4](-[O;H0;D2;+0:5]-[C:6]-[C:7](=[O;D1;H0:8])-[O;D1;H1:9])-[C:10]>>[#15:1]-[O;H0;D2;+0:2]-[CH;D3;+0:4](-[#8:3])-[C:10].[O;D1;H0:8]=[C:7](-[O;D1;H1:9])-[C:6]-[OH;D1;+0:5],"['e083d2e06256b3745e7073f0793c784d4ad940ce', '7fbf686ce056a628f52e573cf18060f4d9dd68c9', '5703f881c4d12cf96bc04313f028db1f9e38137a', '3cde6ba1e35d54aa7ec5fb63799ef71f74df9f78', 'd7e6277bf4d5da01a0d61c2b9351e5c4048d58da', 'c121b6fe828be2f92ab79c56aee38598478b9061', '9e7acf4d49b94626bc132d3c6f586719a9d06006']"
200,[#15:1]-[OH;D1;+0:2].[O;D1;H0:3]=[P;H0;D4;+0:4](-[O;D1;H1:5])(-[O;D1;H1:6])-[OH;D1;+0:7]>>[#15:1]-[O;H0;D2;+0:2]-[P;H0;D4;+0:4](=[O;D1;H0:3])(-[O;D1;H1:5])-[O;D1;H1:6].[OH2;D0;+0:7],"['d2f6f0c3d25030283a0be074353449ae32d7dbd1', 'dedc0e833d867c75a08258338cd9f9e75cf525a5', 'fa98fc0055120afd1ac43f7a1c86f92bc169d958', 'f96b9a843a351e855fc26584b72a4f056be14776', '85656309a5ba5944bcc381d7f70a83bf733ddf3c', '94c3b4d54cab52b3d6750a0cb968a4556b8e0e8e', 'da68f42c3ace8d38b68f5fd068347a67f457952f', '66c8efe2b855f7ca7ba8bed11cab19bc4474c00c', 'e5e1eada8485fbdd660fc1df008113dd15c91e14', '247e2837dc693f8f18a25bedd974f9d523e66a28', '87135019bc422ef927f17b95b0abfc3c9e2efec5', 'feb3cd0edcc540cbdeba77d948fc91b6093e3399', '3e8913228a84f65049f0f35e0579aa3324a194e7', 'b04d850f723c85bada8ab0b68a9da111e97cb8fd', 'b95eabe27944e2da23ebcbb0eebbf1409ca87846', 'd7b7a0be4e6582afbfa56a9f495f3dc1e55d43de', '4204278a5bdfdb419992ea9dac7fa8627d5de631', '459cd09bc0151a5137d439a735a7f6fd5887be66', 'b9397d101f45a39805f7e04aa4e71d29f5d53c7f', 'dfc72bb4ed4b7eb8e2d5bacfa7525cd5b2f98785', 'f91a8f3b8d26bfc3bc88e325d202937e2a79fe8e', '3a2844860963d87addbd59ca0d5d69e8677ec3d4', 'cbb985e4abc4e37bad7d37de2846507046ec65e3', 'd934c24873f1193b0fe7ce6e37b82e316d6387a5', '1861b0f37d48d380dea21c1a64d101f6bab83322', '7e4b8e27ca75dbcc5a893be40b4d87384e277c61', 'a9588e26bc7f99dc52459eccbc0c720efc24da01']"
201,[#15:1]-[OH;D1;+0:2].[#8:3]-[C:4]-[O;H0;D2;+0:5]-[CH;D3;+0:6](-[#8:7])-[C:8]>>[#15:1]-[O;H0;D2;+0:2]-[CH;D3;+0:6](-[#8:7])-[C:8].[#8:3]-[C:4]-[OH;D1;+0:5],"['7035c6fa4276190cf0ece589806c3cabef1e32f8', 'adb2b85c873d827469f4e1738cdbc6bb52fd810f', '2628f9851c5bfcb18a1e01dd72bc18b11f1f17d5', '8843c0c46476d2c2db7fecc398afc1c05561b4f2', '302375375b05b5c4e1fd5759df23c3268229624f', '9667c7e25ec99b8ae223879f07d7055009d45835', 'e07f79ebae0a4d452e7343d830bb121e93755fbd', 'afe6bc4fd07f2ce0d2264381ae4995824a225c18', '0abec53babf31f9820336f1e90fc2ae5f41d09b0', '2e68e515bc10059f7bf23e781e75ce2c60a74cf4']"
202,[#15:1]-[O;H0;D2;+0:2]-[CH;D3;+0:3](-[#8:4])-[C:5].[O;D1;H0:6]=[C:7](-[O;D1;H1:8])-[C:9]-[OH;D1;+0:10]>>[#15:1]-[OH;D1;+0:2].[#8:4]-[CH;D3;+0:3](-[O;H0;D2;+0:10]-[C:9]-[C:7](=[O;D1;H0:6])-[O;D1;H1:8])-[C:5],"['c10d6edb12d2bfbc4dcf0b172ebef959ecc0dd28', '644e040a4dd2902b3a1ee23dcca7120fc25602cd', '21720e61e6b080dc1adc38923672951d178781ea', 'c1667d66a48cc1e6bff508da2c981a6432cf4c7d', 'd0b3b34314b8289f01cf6352d2a98019d3237d5c', '497dcaa84decb98ca598725c5b5a9977575fa9b0', '15751f2d00156cee6752a03a254072429e4803a1']"
203,[#15:1]-[O;H0;D2;+0:2]-[CH;D3;+0:3](-[#8:4])-[C:5].[#8:6]-[C:7]-[OH;D1;+0:8]>>[#15:1]-[OH;D1;+0:2].[#8:6]-[C:7]-[O;H0;D2;+0:8]-[CH;D3;+0:3](-[#8:4])-[C:5],"['c8112c4475f0214d1f156b95450e5fe508bf3078', '52eae84375d03a33d2abece10aec1a07c9ffc224', 'e769473cde920fac229bbfbc07a1f01bd7c697d3', '115032b586f62f28edc533f4de4fc7782e011f79', '67ab5b7449ed3a8649416ab39228df57c29bb5b3', '7a5e3d690fd980f2b3bc8dd1cc447105680c0d70', 'df6f926c9d40091eab1695a22a390060916ecabc', '1edc8ec8afe2c7f4bc55007120f371d66d296173', '25a3382efc62422f565ac229d32916da2e24190d', '63ca493ff9644231e13cfe1c2e06c15cf09e38dd', 'f9d3495642af10bf6ed1a984cf7cc3d0d3e06f1b', '007224c912ba0ea0ae17efe87f73eadbfb8f89b4', '8abb688d0bc7c75852bd5f3b8bfa2569fbc9a3ef', 'bc9bac79e71e1f012b9f0c63a8ca48491669a598', '52988558a6c3f91902e0e8fc8a64a7c04e50143b']"
204,[#8:1]-[C:2]-[CH;D3;+0:3](-[OH;D1;+0:4])-[C:5].[O;D1;H0:6]=[CH;D2;+0:7]-[OH;D1;+0:8]>>[#8:1]-[C:2]-[CH2;D2;+0:3]-[C:5].[O;D1;H0:6]=[C;H0;D2;+0:7]=[O;H0;D1;+0:8].[OH2;D0;+0:4],"['c9cf5376ea954d448e8ac60392e7b4bc8420b0da', '654c215b6e94236f1b9677bda0931446160796c9', 'b783097b35bc5518c39a422e178e196ac9355651', '5899fd012ff35e98f859921213d1908c336f1ea9', '1958033d5fe70047eed1c608774c4144c7f9a268']"
205,[#8:1]-[CH;D3;+0:2](-[OH;D1;+0:3])-[C:4].[#8:5]-[C:6]-[n+;H0;D3:7]1:[cH;D2;+0:8]:[c;H0;D3;+0:9](-[C:10](-[N;D1;H2:11])=[O;D1;H0:12]):[cH;D2;+0:13]:[cH;D2;+0:14]:[cH;D2;+0:15]:1>>[#8:1]-[C;H0;D3;+0:2](=[O;H0;D1;+0:3])-[C:4].[#8:5]-[C:6]-[N;H0;D3;+0:7]1-[CH;D2;+0:8]=[C;H0;D3;+0:9](-[C:10](-[N;D1;H2:11])=[O;D1;H0:12])-[CH2;D2;+0:13]-[CH;D2;+0:14]=[CH;D2;+0:15]-1,"['7ffb2599e16f8878d8a24d849199e08a45743beb', 'e9b5665dea978563fd93cbb4ab2c77035a254eb9', 'b9b083cd61ce386d86f5204b3b1f5a797666a33c', '385f1b7a2cb9ee97c892285c8565d0cb81214711', '58f676cc9f25b5493ba2dfbd1b93ad013417f980', 'beef975cd2a4638e0ea01745ce3d30e808e67eb4', 'da3187f63ecc2c894c7caeec906d00b2329dd87e', 'b61e57d335b81e11081709c08daa7c57cca2f0d9', '4c01e7a48b366b61bd4ac36c4228bad967c3c189', '0232a9ceb926169c7339bcd942898c4c9d58891f', 'b091db26cab3e48f5a1fd49c99c7b3294d9a77f6', 'fdde3000ab678d8c26ac13d216047230580b9faf', '66943c40339040006d0d5a41a147558cd7fe19eb', '5b166583492d3747265b07e0bbe928b183a40f0c', '0f915527638d65505c4202112e45643bcc12ce54', '2e66ad0250f09a883e1c65fe5f7837b44c44333c', '469339e4992a9b8fc6e3f68b57cb080480a50540']"
206,[C:1]-[CH2;D2;+0:2]-[C;H0;D4;+0:3](-[C;D1;H3:4])(-[C;D1;H3:5])-[C;H0;D3;+0:6](-[C:7]=[C:8])=[C:9]>>[C:1]-[CH;D2;+0:2]=[C;H0;D3;+0:3](-[C;D1;H3:4])-[C;D1;H3:5].[C:9]=[CH;D2;+0:6]-[C:7]=[C:8],"['b0c96b16b4a91412af5da4ade504670e28a19ef6', 'f9736082a7f5abd6e886fb8f3ffdcc37f2863999', '6f224d733d90284ec63a3937178def92aa6db77f', '2488b76d2523f0f0ad761a042c9fe3f2aa82db09']"
207,[C:1]=[C:2]-[CH;D3;+0:3]1-[C;H0;D3;+0:4](-[C;D1;H3:5])=[CH;D2;+0:6]-[C:7]-[CH2;D2;+0:8]-[C;H0;D4;+0:9]-1(-[C;D1;H3:10])-[C;D1;H3:11]>>[C:1]=[C:2]-[CH;D2;+0:3]=[C;H0;D3;+0:4](-[C;D1;H3:5])-[CH2;D2;+0:6]-[C:7]-[CH;D2;+0:8]=[C;H0;D3;+0:9](-[C;D1;H3:10])-[C;D1;H3:11],['1d6673ac8e29fa7acbd63466703226b1e203ac3a']
208,[C:1]-[CH;D2;+0:2]=[C;H0;D3;+0:3](-[C;D1;H3:4])-[C;D1;H3:5].[C:6]=[CH;D2;+0:7]-[C:8]=[C:9]>>[C:1]-[CH2;D2;+0:2]-[C;H0;D4;+0:3](-[C;D1;H3:4])(-[C;D1;H3:5])-[C;H0;D3;+0:7](-[C:8]=[C:9])=[C:6],['af9c8b9fb77be48605078d3c016df1165784bd9a']
209,[C:1]=[C:2]-[CH;D2;+0:3]=[C;H0;D3;+0:4](-[C;D1;H3:5])-[CH2;D2;+0:6]-[C:7]-[CH;D2;+0:8]=[C;H0;D3;+0:9](-[C;D1;H3:10])-[C;D1;H3:11]>>[C:1]=[C:2]-[CH;D3;+0:3]1-[C;H0;D3;+0:4](-[C;D1;H3:5])=[CH;D2;+0:6]-[C:7]-[CH2;D2;+0:8]-[C;H0;D4;+0:9]-1(-[C;D1;H3:10])-[C;D1;H3:11],['4cfcd8b3fe28973162d1c4dd837787696feac2d6']
210,[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10])=[CH;D2;+0:11]-1.[*;D1;H0:12]-[CH;D2;+0:13]=[CH;D2;+0:14]-[C:15]=[O;D1;H0:16]>>[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10]):[cH;D2;+0:11]:1.[*;D1;H0:12]-[CH2;D2;+0:13]-[CH2;D2;+0:14]-[C:15]=[O;D1;H0:16],"['d3aab310cfcbb2bd9f933b4ec7471a09be1b6de0', 'faaa8dc357863e01cf2ee9a53ce1f95f28e83b2d', 'e369373c9324222abd4fdec96ee843a16e62b9b8', '6a68ae95be160c006519136a839a96f30a17ef8a', '869a67b85a5dd304fd4dc998278a577e11c93499']"
211,[*;D1;H0:1]-[CH;D2;+0:2]=[CH;D2;+0:3]-[C:4]=[O;D1;H0:5].[OH2;D0;+0:6]>>[*;D1;H0:1]-[CH;D3;+0:2](-[OH;D1;+0:6])-[CH2;D2;+0:3]-[C:4]=[O;D1;H0:5],"['0e08908de974cc3c2b62c5f0edc90ec476973c9f', 'c3386171d31cdaa26084ebb49466852db530b691', '77c94f00808c8adc76389571d2b3587f81b58f31']"
212,[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10])=[CH;D2;+0:11]-1.[*;D1;H0:12]-[CH;D2;+0:13]=[CH;D2;+0:14]-[CH;D2;+0:15]=[CH;D2;+0:16]-[C:17]=[O;D1;H0:18]>>[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10]):[cH;D2;+0:11]:1.[*;D1;H0:12]-[CH2;D2;+0:13]-[CH;D2;+0:14]=[CH;D2;+0:15]-[CH2;D2;+0:16]-[C:17]=[O;D1;H0:18],['cf01160e330333233ec2f58b69ed03718e04682c']
213,[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10])=[CH;D2;+0:11]-1.[*;D1;H0:12]-[CH;D2;+0:13]=[CH;D2;+0:14]-[C:15]=[C:16]>>[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c;H0;D3;+0:7](-[C:8](-[N;D1;H2:9])=[O;D1;H0:10]):[cH;D2;+0:11]:1.[*;D1;H0:12]-[CH2;D2;+0:13]-[CH2;D2;+0:14]-[C:15]=[C:16],['7a9b4ad2d70e8afb70f4e0f2ed1a194ab2cac594']
214,[*;D1;H0:1]-[CH;D2;+0:2]=[CH;D2;+0:3]-[CH;D2;+0:4]=[CH;D2;+0:5]-[CH2;D2;+0:6]-[C:7]=[O;D1;H0:8]>>[*;D1;H0:1]-[CH2;D2;+0:2]-[CH;D2;+0:3]=[CH;D2;+0:4]-[CH;D2;+0:5]=[CH;D2;+0:6]-[C:7]=[O;D1;H0:8],['c92a2071771073bcba9daee01f6eb8b9f91db47d']
215,[#8:1]-[C:2]-[N;H0;D3;+0:3]1-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8])-[CH2;D2;+0:9]-[CH;D2;+0:10]=[CH;D2;+0:11]-1.[*;D1;H0:12]-[CH;D2;+0:13]=[CH;D2;+0:14]-[C:15]=[O;D1;H0:16]>>[#8:1]-[C:2]-[n+;H0;D3:3]1:[cH;D2;+0:4]:[c;H0;D3;+0:5](-[C:6](-[N;D1;H2:7])=[O;D1;H0:8]):[cH;D2;+0:9]:[cH;D2;+0:10]:[cH;D2;+0:11]:1.[*;D1;H0:12]-[CH2;D2;+0:13]-[CH2;D2;+0:14]-[C:15]=[O;D1;H0:16],"['7f4953c1805f5f24d55fd200e2c7ab57cd8a512c', '72843ac05715267bdf480b10b9b59c1de7514c8f']"
216,[*;D1;H0:1]-[CH;D2;+0:2]=[CH;D2;+0:3]-[CH2;D2;+0:4]-[CH2;D2;+0:5]-[CH2;D2;+0:6]-[C:7].[C:8]-[S+;H0;D3:9](-[C:10])-[CH3;D1;+0:11]>>[*;D1;H0:1]-[CH;D3;+0:2]1-[CH2;D2;+0:3]-[CH;D3;+0:4]-1-[CH2;D2;+0:5]-[CH2;D2;+0:11]-[CH2;D2;+0:6]-[C:7].[C:8]-[S;H0;D2;+0:9]-[C:10],['eb11301668702cadcbf26ba6b4e19cd36401aab3']
217,[C:1]-[O;H0;D2;+0:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;D1;H0:5].[C:6]-[OH;D1;+0:7]>>[C:6]-[O;H0;D2;+0:7]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;D1;H0:5].[C:1]-[OH;D1;+0:2],"['9a1c9daea6d6163769ec488dbc777e3eecb46069', '7ae7a3d4f47a177193d26e395d3b353cadb9e5dc', 'e12cf1ea7bee36a2e9c11dd114ec1956788444d5', 'b8f4cf7d9cdfb2f89af7cb96bc9f88fe30f4cd7b', 'f0519dc4f429b02dd3446f893f10c9e223f496c7', '45e1613e3486ec5654510d9a72c637bc415fb952']"
218,[*;D1;H0:1]-[CH;D2;+0:2]=[CH;D2;+0:3]-[O;H0;D2;+0:4]-[C:5].[OH2;D0;+0:6]>>[*;D1;H0:1]-[CH2;D2;+0:2]-[CH;D2;+0:3]=[O;H0;D1;+0:6].[C:5]-[OH;D1;+0:4],"['621831bb3d39618eb26fa8edbb338ce04dfa81ee', 'a742c4b75b30645469821ff396eff134891e9963']"
