id,smarts,rc_plus_0_id
0,[*:1]-[C&D2&v4&H0&+0&!R&z2:2]#[N&D1&v3&H0&+0&!R:3].[O&D0&v2&H2&+0&!R:4]>>[*:1]-[C&D3&v4&H0&+0&!R&z3:2](-[N&D1&v3&H2&+0&!R:3])=[O&D1&v2&H0&+0&!R:4],549
1,[*:1]-[C&D2&v4&H0&+0&!R&z2:2]#[N&D1&v3&H0&+0&!R:3].[O&D0&v2&H2&+0&!R:4]>>[*:1]-[C&D2&v4&H1&+0&!R&z2:2]=[N&D2&v3&H0&+0&!R:3]-[O&D1&v2&H1&+0&!R:4],785
2,[*:1]-[C&D3&v4&H1&+0&!R&z3:2](-[*:3])-[S&D1&v2&H1&+0&!R:4].[*:5]-[C&D3&v4&H1&+0&!R&z3:6](-[*:7])-[S&D1&v2&H1&+0&!R:8].[O&D1&v2&H0&+0&!R:9]=[O&D1&v2&H0&+0&!R:10]>>[*:1]-[C&D3&v4&H1&+0&!R&z3:2](-[*:3])-[S&D2&v2&H0&+0&!R:4]-[S&D2&v2&H0&+0&!R:8]-[C&D3&v4&H1&+0&!R&z3:6](-[*:5])-[*:7].[O&D1&v2&H1&+0&!R:9]-[O&D1&v2&H1&+0&!R:10],747
3,[*:1]-[C&D3&v4&H1&+0&!R&z3:2](-[*:3])-[S&D2&v2&H0&+0&!R:4]-[S&D2&v2&H0&+0&!R:5]-[C&D3&v4&H1&+0&!R&z3:6](-[*:7])-[*:8].[O&D1&v2&H1&+0&!R:9]-[O&D1&v2&H1&+0&!R:10]>>[*:1]-[C&D3&v4&H1&+0&!R&z3:2](-[*:3])-[S&D1&v2&H1&+0&!R:4].[*:7]-[C&D3&v4&H1&+0&!R&z3:6](-[*:8])-[S&D1&v2&H1&+0&!R:5].[O&D1&v2&H0&+0&!R:9]=[O&D1&v2&H0&+0&!R:10],225
4,[*:1]-[C&D3&v4&H0&+0&!R&z2:2](=[O&D1&v2&H0&+0&!R:3])-[C&D3&v4&H1&+0&!R&z1:4](-[*:5])-[C&D3&v4&H0&+0&!R&z2:6].[N&D1&v3&H2&+0&!R:7]-[C&D3&v4&H0&+0&!R&z2:8](=[O&D1&v2&H0&+0&!R:9])-[C&D3&v4&H0&+0&R&z0:10]1=[C&D2&v4&H1&+0&R&z1:11]-[N&D3&v3&H0&+0&R:12](-[C&D3&v4&H1&+0&R&z2:13](-[O&D2&v2&H0&+0&R:14])-[C&D3&v4&H1&+0&R&z1:15])-[C&D2&v4&H1&+0&R&z1:16]=[C&D2&v4&H1&+0&R&z0:17]-[C&D2&v4&H2&+0&R&z0:18]-1>>[*:1]-[C&D3&v4&H1&+0&!R&z2:2](-[O&D1&v2&H1&+0&!R:3])-[C&D3&v4&H1&+0&!R&z1:4](-[*:5])-[C&D3&v4&H0&+0&!R&z2:6].[N&D1&v3&H2&+0&!R:7]-[C&D3&v4&H0&+0&!R&z2:8](=[O&D1&v2&H0&+0&!R:9])-[c&D3&v4&H0&+0&R&z0:10]1:[c&D2&v4&H1&+0&R&z0:18]:[c&D2&v4&H1&+0&R&z0:17]:[c&D2&v4&H1&+0&R&z1:16]:[n&D3&v4&H0&+&R:12](-[C&D3&v4&H1&+0&R&z2:13](-[O&D2&v2&H0&+0&R:14])-[C&D3&v4&H1&+0&R&z1:15]):[c&D2&v4&H1&+0&R&z1:11]:1,559
5,[*:1]-[C&D3&v4&H1&+0&!R&z2:2](-[N&D2&v3&H1&+0&!R:3]-[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[C&D2&v4&H2&+0&!R&z0:6]-[C&D2&v4&H2&+0&!R&z0:7])-[C&D3&v4&H0&+0&!R&z2:8].[C&D3&v4&H0&+0&!R&z2:9]-[C&D3&v4&H1&+0&!R&z2:10](-[*:11])-[N&D1&v3&H2&+0&!R:12]>>[*:1]-[C&D3&v4&H1&+0&!R&z2:2](-[N&D1&v3&H2&+0&!R:3])-[C&D3&v4&H0&+0&!R&z2:8].[C&D3&v4&H0&+0&!R&z2:9]-[C&D3&v4&H1&+0&!R&z2:10](-[*:11])-[N&D2&v3&H1&+0&!R:12]-[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[C&D2&v4&H2&+0&!R&z0:6]-[C&D2&v4&H2&+0&!R&z0:7],316
6,[C&D3&v4&H0&+0&!R&z2:1]-[C&D3&v4&H1&+0&!R&z2:2](-[*:3])-[N&D1&v3&H2&+0&!R:4].[C&D3&v4&H1&+0&R&z1:5]-[C&D3&v4&H1&+0&R&z1:6](-[C&D3&v4&H1&+0&R&z1:7])-[O&D2&v2&H0&+0&!R:8]-[C&D3&v4&H0&+0&!R&z2:9](=[O&D1&v2&H0&+0&!R:10])-[C&D3&v4&H1&+0&!R&z1:11](-[N&D1&v3&H2&+0&!R:12])-[C&D2&v4&H2&+0&!R&z0:13]>>[C&D3&v4&H0&+0&!R&z2:1]-[C&D3&v4&H1&+0&!R&z2:2](-[*:3])-[N&D2&v3&H1&+0&!R:4]-[C&D3&v4&H0&+0&!R&z2:9](=[O&D1&v2&H0&+0&!R:10])-[C&D3&v4&H1&+0&!R&z1:11](-[N&D1&v3&H2&+0&!R:12])-[C&D2&v4&H2&+0&!R&z0:13].[C&D3&v4&H1&+0&R&z1:5]-[C&D3&v4&H1&+0&R&z1:6](-[C&D3&v4&H1&+0&R&z1:7])-[O&D1&v2&H1&+0&!R:8],175
7,[C&D3&v4&H0&+0&!R&z2:1]-[C&D3&v4&H1&+0&!R&z2:2](-[*:3])-[N&D1&v3&H2&+0&!R:4].[N&D1&v3&H2&+0&!R:5]-[C&D3&v4&H1&+0&!R&z1:6](-[C&D2&v4&H2&+0&!R&z0:7])-[C&D3&v4&H0&+0&!R&z2:8](=[O&D1&v2&H0&+0&!R:9])-[O&D1&v2&H1&+0&!R:10]>>[C&D3&v4&H0&+0&!R&z2:1]-[C&D3&v4&H1&+0&!R&z2:2](-[*:3])-[N&D2&v3&H1&+0&!R:4]-[C&D3&v4&H0&+0&!R&z2:8](=[O&D1&v2&H0&+0&!R:9])-[C&D3&v4&H1&+0&!R&z1:6](-[N&D1&v3&H2&+0&!R:5])-[C&D2&v4&H2&+0&!R&z0:7].[O&D0&v2&H2&+0&!R:10],175
8,[C&D3&v4&H0&+0&!R&z2:1]-[C&D3&v4&H1&+0&!R&z2:2](-[*:3])-[N&D2&v3&H1&+0&!R:4]-[C&D3&v4&H0&+0&!R&z2:5](=[O&D1&v2&H0&+0&!R:6])-[C&D3&v4&H1&+0&!R&z1:7](-[N&D1&v3&H2&+0&!R:8])-[C&D2&v4&H2&+0&!R&z0:9].[C&D3&v4&H1&+0&R&z1:10]-[C&D3&v4&H1&+0&R&z1:11](-[C&D3&v4&H1&+0&R&z1:12])-[O&D1&v2&H1&+0&!R:13]>>[C&D3&v4&H0&+0&!R&z2:1]-[C&D3&v4&H1&+0&!R&z2:2](-[*:3])-[N&D1&v3&H2&+0&!R:4].[C&D3&v4&H1&+0&R&z1:10]-[C&D3&v4&H1&+0&R&z1:11](-[C&D3&v4&H1&+0&R&z1:12])-[O&D2&v2&H0&+0&!R:13]-[C&D3&v4&H0&+0&!R&z2:5](=[O&D1&v2&H0&+0&!R:6])-[C&D3&v4&H1&+0&!R&z1:7](-[N&D1&v3&H2&+0&!R:8])-[C&D2&v4&H2&+0&!R&z0:9],587
9,[C&D3&v4&H0&+0&!R&z2:1]-[C&D3&v4&H1&+0&!R&z2:2](-[*:3])-[N&D2&v3&H1&+0&!R:4]-[C&D3&v4&H0&+0&!R&z2:5](=[O&D1&v2&H0&+0&!R:6])-[C&D3&v4&H1&+0&!R&z1:7](-[N&D1&v3&H2&+0&!R:8])-[C&D2&v4&H2&+0&!R&z0:9].[O&D0&v2&H2&+0&!R:10]>>[C&D3&v4&H0&+0&!R&z2:1]-[C&D3&v4&H1&+0&!R&z2:2](-[*:3])-[N&D1&v3&H2&+0&!R:4].[N&D1&v3&H2&+0&!R:8]-[C&D3&v4&H1&+0&!R&z1:7](-[C&D2&v4&H2&+0&!R&z0:9])-[C&D3&v4&H0&+0&!R&z2:5](=[O&D1&v2&H0&+0&!R:6])-[O&D1&v2&H1&+0&!R:10],587
10,[*:1]-[C&D3&v4&H1&+0&!R&z2:2](-[N&D1&v3&H2&+0&!R:3])-[C&D3&v4&H0&+0&!R&z2:4].[C&D3&v4&H0&+0&!R&z2:5]-[C&D3&v4&H1&+0&!R&z2:6](-[*:7])-[N&D2&v3&H1&+0&!R:8]-[C&D3&v4&H0&+0&!R&z2:9](=[O&D1&v2&H0&+0&!R:10])-[C&D2&v4&H2&+0&!R&z0:11]-[C&D2&v4&H2&+0&!R&z0:12]>>[*:1]-[C&D3&v4&H1&+0&!R&z2:2](-[N&D2&v3&H1&+0&!R:3]-[C&D3&v4&H0&+0&!R&z2:9](=[O&D1&v2&H0&+0&!R:10])-[C&D2&v4&H2&+0&!R&z0:11]-[C&D2&v4&H2&+0&!R&z0:12])-[C&D3&v4&H0&+0&!R&z2:4].[C&D3&v4&H0&+0&!R&z2:5]-[C&D3&v4&H1&+0&!R&z2:6](-[*:7])-[N&D1&v3&H2&+0&!R:8],316
11,[*:1]-[C&D3&v4&H0&+0&!R&z2:2](=[O&D1&v2&H0&+0&!R:3])-[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[O&D1&v2&H1&+0&!R:6].[C&D2&v4&H2&+0&!R&z1:7]-[C&D2&v4&H2&+0&!R&z0:8]-[C&D3&v4&H1&+0&!R&z1:9](-[N&D1&v3&H2&+0&!R:10])-[C&D3&v4&H0&+0&!R&z2:11](=[O&D1&v2&H0&+0&!R:12])-[O&D1&v2&H1&+0&!R:13]>>[*:1]-[C&D3&v4&H1&+0&!R&z2:2](-[N&D1&v3&H2&+0&!R:10])-[C&D3&v4&H0&+0&!R&z2:4](=[O&D1&v2&H0&+0&!R:5])-[O&D1&v2&H1&+0&!R:6].[C&D2&v4&H2&+0&!R&z1:7]-[C&D2&v4&H2&+0&!R&z0:8]-[C&D3&v4&H0&+0&!R&z1:9](=[O&D1&v2&H0&+0&!R:3])-[C&D3&v4&H0&+0&!R&z2:11](=[O&D1&v2&H0&+0&!R:12])-[O&D1&v2&H1&+0&!R:13],103
