id,smarts,levin_id
20,[C:1]-[NH;D2;+0:2]-[C;H1;D2;+0]=[O;H0;D1;+0]>>[C:1]-[NH2;D1;+0:2],99eaf1700cd28ffc98af152c5c7bda97
21,[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[C:4]-[CH2;D2;+0:5]-[C;H0;D3;+0:6](=[O;H0;D1;+0])-[C:7]-[C:8](=[O;D1;H0:9])-[OH;D1;+0:10]>>[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[C:4]-[C;H0;D3;+0:5]1=[CH;D2;+0:6]-[C:7]-[C:8](=[O;D1;H0:9])-[O;H0;D2;+0:10]-1,f9a62a9ebc5c7cee559a7412f9e4b482
22,[C:1]-[CH2;D2;+0:2]-[O;H1;D1;+0].[O;D1;H0:5]=[C:4]-[OH;D1;+0:3]>>[C:1]-[CH2;D2;+0:2]-[O;H0;D2;+0:3]-[C:4]=[O;D1;H0:5],3be6e3e13371d423076130c490e02b98
23,[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H1;D1;+0].[OH;D1;+0:4]-[c:5]>>[C:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[c:5],d6012d3641449db1e0fc69732a19ac9c
24,[O;D1;H0:1]=[C:2](-[O;D1;H1:3])-[CH2;D2;+0:4]-[C;H0;D3;+0:5](=[O;H0;D1;+0])[C:6]=[C:7][C:8](=[O;D1;H0:9])-[OH;D1;+0:10]>>[O;D1;H0:1]=[C:2](-[O;D1;H1:3])[CH;D2;+0:4]=[C;H0;D3;+0:5]1[C:6]=[C:7]-[C:8](=[O;D1;H0:9])-[O;H0;D2;+0:10]-1,f5fa6f0d107d1e5482aafd0cad83971e
25,[OH;D1;+0:1]-[c:2]>>O-P(-O)(=O)-[O;H0;D2;+0:1]-[c:2],2582f6277b603312f1b572a6cbee210e
26,[#8:3]-[C:2]-[OH;D1;+0:1]>>O-P(-O)(=O)-[O;H0;D2;+0:1]-[C:2]-[#8:3],f0739b8c583ec9afe508b2ff95aa9669
27,[C:3]-[NH;D2;+0:4]-[C;H0;D3;+0:5](=[O;H0;D1;+0:6])-[C:7]-[NH;D2;+0:8]-[C;H0;D3;+0:9](=[O;H0;D1;+0:10])-[C:11](-[C:12]-[C;H0;D3;+0:13](-[NH2;D1;+0:14])=[O;H0;D1;+0:15])-[NH;D2;+0:16]-[C;H0;D3;+0:17](-[C:18])=[O;H0;D1;+0:19].[OH;D1;+0:1]-[c:2]>>O-P(-O)(=O)-[O;H0;D2;+0:1]-[c:2].[C:3]-[N;H0;D2;+0:4]=[C;H0;D3;+0:5](-[OH;D1;+0:6])-[C:7]-[N;H0;D2;+0:8]=[C;H0;D3;+0:9](-[OH;D1;+0:10])-[C:11](-[C:12]-[C;H0;D3;+0:13](=[NH;D1;+0:14])-[OH;D1;+0:15])-[N;H0;D2;+0:16]=[C;H0;D3;+0:17](-[C:18])-[OH;D1;+0:19],23be17f74be39f21374218b708dcfb60
28,[O;D1;H1:1]-[c;H0;D3;+0:2]1:[c:3]:[c:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c;H0;D3;+0:7]:1-[O;D1;H1:8]>>[O;D1;H1:1]-[CH;D3;+0:2]1-[c:3]:[c:4]-[CH;D2;+0:5]=[CH;D2;+0:6]-[CH;D3;+0:7]-1-[O;D1;H1:8],e501f9344acbad55517d30ec1eb2e9a0
29,[O;D1;H0:1]=[c;H0;D3;+0:2]1:[c:3]:[c:4]:[o;H0;D2;+0:5]:[cH;D2;+0:6]:[c;H0;D3;+0:7]:1-[c;H0;D3;+0:8](:[c:9]):[c:10]>>[O;D1;H0:1]=[C;H0;D3;+0:2]1-[c:3]:[c:4]-[O;H0;D2;+0:5]-[CH2;D2;+0:6]-[CH;D3;+0:7]-1-[c;H0;D3;+0:8](:[c:9]):[c:10],020fc48855a5719f0edd523038b32753
30,[C:1][C:2]=[C:3][CH;D3;+0:4]1-[C:5]-[C:6]2-[C:7]-[CH;D3;+0:8](-[O;H0;D2;+0:10]-2)-[O;H0;D2;+0:9]-1>>[C:1][C:2]=[C:3][CH;D3;+0:4]1-[C:5]-[C:6]2-[C:7]-[CH;D3;+0:8]-1-[O;H0;D2;+0:9]-[O;H0;D2;+0:10]-2,a5f0326abc1c809bf155d89523a94b5e
31,[O;D1;H0:7]=[C:6](-[O;D1;H1:8])-[c;H0;D3;+0:5]1:[cH;D2;+0:9]:[c;H0;D3;+0:10](-[O;D1;H1:11]):[c;H0;D3;+0:1](-[O;D1;H1:2]):[cH;D2;+0:3]:[cH;D2;+0:4]:1>>O-C(=O)-[C;H0;D4;+0:1]1(-[O;D1;H1:2])-[CH;D2;+0:3]=[CH;D2;+0:4]-[C;H0;D3;+0:5](-[C:6](=[O;D1;H0:7])-[O;D1;H1:8])=[CH;D2;+0:9]-[CH;D3;+0:10]-1-[O;D1;H1:11],45ea2654bf4d9d4f3603a659f6bc3fa4
32,[#7:1]-[C:2]-[C;H0;D3;+0:3]1=[C;H0;D3;+0:7](-[C:8]-[C:9](=[O;D1;H0:10])-[O;D1;H1:11])-[C:6]-[C:5]=[#7:4]-1>>[#7:1]-[C:2]-[CH;D3;+0:3]1-[#7:4]=[C:5]-[C:6]-[CH;D3;+0:7]-1-[C:8]-[C:9](=[O;D1;H0:10])-[O;D1;H1:11],503ff26fdf5fe6a300fbaaaa2c12818d
33,[#7;a:4]:[c:3](:[c:5]:[#7;a:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:7]-[C:8]-[C:9](=[O;D1;H0:10])-[O;D1;H1:11]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#7;a:4]):[c:5]:[#7;a:6].[NH2;D1;+0:7]-[C:8]-[C:9](=[O;D1;H0:10])-[O;D1;H1:11],dd4782c9814953b12b4365ec3532ed1a
34,[O;D1;H0:1]=[C:2]-[c;H0;D3;+0:3]1:[cH;D2;+0:8]:[cH;D2;+0:7]:[cH;D2;+0:6]:[cH;D2;+0:5]:[cH;D2;+0:4]:1>>[O;D1;H0:1]=[C:2]-[C;H0;D3;+0:3]1=[CH;D2;+0:4]-[CH2;D2;+0:5]-[CH2;D2;+0:6]-[CH;D2;+0:7]=[CH;D2;+0:8]-1,80971e74008162a37c671e2c0f4521f8
35,[#7;a:13]:[c:12]:[c:11]1:[c:9](:[#7;a:10])-[#7:8]-[C:7]-[CH;D3;+0:3]2-[C:4]-[N;H0;D3;+0:5](-[c:6])-[CH;D2;+0:1]=[N+;H0;D3:2]-2-1>>O=[CH;D2;+0:1]-[N;H0;D3;+0:2]1-[CH;D3;+0:3](-[C:4]-[NH;D2;+0:5]-[c:6])-[C:7]-[#7:8]-[c:9](:[#7;a:10]):[c:11]-1:[c:12]:[#7;a:13],a7a96ff55885aac8e25f33cc435e88a9
36,[C:2]-[OH;D1;+0:1]>>O-[PH](=O)(=O)-[O;H0;D2;+0:1]-[C:2],bebbad82fd17f0aa0d74f457ded61bb9
37,[C:1]-[CH;D3;+0:2]1-[NH;D2;+0:3]-[C;H0;D3;+0](=[O;H0;D1;+0])-[NH;D2;+0:6]-[CH;D3;+0:4]-1-[C;D1;H3:5]>>[C:1]-[CH;D3;+0:2](-[NH2;D1;+0:3])-[CH;D3;+0:4](-[C;D1;H3:5])-[NH2;D1;+0:6],acebbbb8a9e493a03541fe1b4097b7ca
38,[#7;a:2]:[c;H0;D3;+0:1](-[N;H2;D1;+0]):[n;H0;D2;+0:3]:[c:4](:[#7;a:5]):[c:6]:[#7;a:7]>>O=[c;H0;D3;+0:1](:[#7;a:2]):[nH;D2;+0:3]:[c:4](:[#7;a:5]):[c:6]:[#7;a:7],a249d1f8ebc2a3d4817cc8542347ea22
39,[C:1]-[C;H0;D3;+0:2](-[c:3])=[N+;H0;D3:4](-[C:5])-[C;D1;H3:6]>>[C:1]-[CH;D3;+0:2](-[c:3])-[N;H0;D3;+0:4](-[C:5])-[C;D1;H3:6],0c83bb1b2bb90aca1b797558ce01c469
40,[C:1]-[CH;D3;+0:2]1-[CH;D2;+0:3]=[CH;D2;+0:4]-[C;H0;D3;+0:5](=[O;H0;D1;+0:6])-[CH;D3;+0:7]-1-[C:8][C:9]=[C:10]>>[C:1][CH;D2;+0:2]=[CH;D2;+0:3][CH;D2;+0:4]=[C;H0;D3;+0:5]1[O;H0;D2;+0:6]-[CH;D3;+0:7]-1-[C:8][C:9]=[C:10],84cdd15c840643cda0a27bc0f6762890
41,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:5]-[C;D1;H3:4]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C;D1;H3:4]-[NH2;D1;+0:5],75d619277c69ef702c17d36a62aabaee
42,[#8:4]-[C:5]-[NH;D2;+0:6]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#8:7]-[P;H0;D4;+0:8](-[O;D1;H1:9])(=[O;H0;D1;+0:11])-[OH;D1;+0:10]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#8:4]-[C:5]-[NH2;D1;+0:6].[#8:7]-[P;H0;D4;+0:8](-[O;D1;H1:9])(=[O;H0;D1;+0:10])-[OH;D1;+0:11],9df528927237526381752a747eddcfc0
43,[N;H2;D1;+0]-[C;H0;D3;+0:2](=[O;D1;H0:1])-[O;H0;D2;+0:4]-[P;H0;D4;+0](=[O;H0;D1;+0])(-[O;H1;D1;+0])-[OH;D1;+0:3]>>[O;D1;H0:1]=[C;H0;D3;+0:2](-[OH;D1;+0:3])-[OH;D1;+0:4],baf0832c8dabe87ad4aca5fa25815bf7
44,[C:4]-[N;H0;D2;+0:3]=[C;H0;D3;+0:1](-[N;D1;H2:2])-[NH;D2;+0:5]-[C:6]-[C:7](=[O;D1;H0:8])-[O;D1;H1:9]>>O=[C;H0;D3;+0:1](-[N;D1;H2:2])-[NH;D2;+0:3]-[C:4].[NH2;D1;+0:5]-[C:6]-[C:7](=[O;D1;H0:8])-[O;D1;H1:9],bf49036e6152dd865b545a01a30e800e
45,[C:1]-[N;H0;D3;+0:2](-[C:3])-[C;H3;D1;+0]>>[C:1]-[NH;D2;+0:2]-[C:3],d429d9083f7fed54fba4761115d91db4
46,[C;H3;D1;+0]-[O;H0;D2;+0:1]-[c:2]>>[OH;D1;+0:1]-[c:2],e0e2b378d623262efad3f5cff831b758
47,[C:2]-[CH;D3;+0:1](-[N;H2;D1;+0])-[O;H0;D2;+0:4]-[C:3]>>O=[CH;D2;+0:1]-[C:2].[C:3]-[OH;D1;+0:4],511191ea26862d1b071a7c1c0fc2e21f
48,[C:1]-[N+;H0;D4:2](-[C:3])(-[C:4])-[C;H3;D1;+0]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-[C:4],4b112c5d1e17465c4631a5f75dda31db
49,[#8:2]-[CH;D3;+0:1](-[C:3])-[n;H0;D3;+0:6]1:[c:5]:[c:4]:[n;H0;D2;+0:8]:[c:7]:1>>O-P(-O)(=O)-O-P(-O)(=O)-O-[CH;D3;+0:1](-[#8:2])-[C:3].[c:4]1:[c:5]:[n;H0;D2;+0:6]:[c:7]:[nH;D2;+0:8]:1,03243190b2cb42b5bf071e53c92a0d10
50,[#7;a:1]:[c:2][C;H0;D3;+0:3](-[C;H3;D1;+0])=[C:4]1[C:5]-[C:6]-[C;H0;D3;+0:7](=[CH;D2;+0:8]-[C;H0;D3;+0:9]2=[N;H0;D2;+0:15][C:12](=[C:13][c:14])-[C:11]-[C:10]-2)-[NH;D2;+0:16]-1>>[#7;a:1]:[c:2][CH;D2;+0:3]=[C:4]1[C:5]-[C:6]-[C;H0;D3;+0:7]([CH;D2;+0:8]=[C;H0;D3;+0:9]2[C:10]-[C:11][C:12](=[C:13][c:14])-[NH;D2;+0:15]-2)=[N;H0;D2;+0:16]-1,7cec3fd74448603d365ca636c09670f4
51,[#7;a:1]:[c:2]-[CH2;D2;+0:3]-[C;H0;D3;+0:4]1=[C;H0;D3;+0:30](-[C:31])-[C:29]-[C:6]([C:7]=[C:8][#7:9]-[C;H0;D4;+0:10](-[C:11])(-[C;H0;D3;+0:15](-[C;D1;H3:16])=[O;H0;D1;+0:17])-[C;H0;D3;+0:18]2=[C;H0;D3;+0:24](-[C:25]-[C:26](=[O;D1;H0:27])-[O;D1;H1:28])-[C;H0;D4;+0:22](-[C:23])(-[C;H3;D1;+0])-[C;H0;D3;+0:20](-[C:21])=[N;H0;D2;+0:19]-2)=[#7:5]-1.[O;D1;H0:14]=[C:13]-[OH;D1;+0:12]>>[#7;a:1]:[c:2][CH;D2;+0:3]=[C;H0;D3;+0:4]1[#7:5]=[C:6](-[C:7]=[C:8]-[#7:9]-[C;H0;D4;+0:10](-[C:11])(-[O;H0;D2;+0:12]-[C:13]=[O;D1;H0:14])-[C;H0;D4;+0:15](-[C;D1;H3:16])(-[OH;D1;+0:17])-[c;H0;D3;+0:18]2:[nH;D2;+0:19]:[c;H0;D3;+0:20](-[C:21]):[c;H0;D3;+0:22](-[C:23]):[c;H0;D3;+0:24]:2-[C:25]-[C:26](=[O;D1;H0:27])-[O;D1;H1:28])-[C:29]-[CH;D3;+0:30]-1-[C:31],a66f760e663c5195a31ef2832c49cde1
52,[O;D1;H0:8]=[C:7](-[O;D1;H1:9])-[C:5](=[O;D1;H0:6])-[CH2;D2;+0:4]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[O;D1;H1:3]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[O;D1;H1:3].[CH3;D1;+0:4]-[C:5](=[O;D1;H0:6])-[C:7](=[O;D1;H0:8])-[O;D1;H1:9],a8d7ad2346301e621ca5dea2ee05c382
53,[C;D1;H3:4]-[CH;D3;+0:5](-[C:6]=[O;D1;H0:7])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[O;D1;H1:3]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[O;D1;H1:3].[C;D1;H3:4]-[CH2;D2;+0:5]-[C:6]=[O;D1;H0:7],e4b13ff692c26f1197579c5b3589eb4a
54,[C:4]=[C:5][CH2;D2;+0:6]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[O;D1;H1:3]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[O;D1;H1:3].[C:4]=[C:5]-[CH3;D1;+0:6],26af1109e3aee69fca103b6b37339e04
55,[C:4][C:5]=[C:6]([C:7])-[CH2;D2;+0:8]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[O;D1;H1:3]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[O;D1;H1:3].[C:4][C:5]=[C:6]([C:7])-[CH3;D1;+0:8],d2672616df04c57e21570bebe805d2ad
