id,smarts,sources,hash
EVODEX.2-Em11,[#6:3]-[#6:1](=[#8:4])-[#7](-[#6])-[#1].[#8:2](-[#1])-[#1]>>[#6:3]-[#6:1](=[#8:4])-[#8:2]-[#1],"EVODEX.2-P11,EVODEX.2-P137,EVODEX.2-P1621,EVODEX.2-P194,EVODEX.2-P2315,EVODEX.2-P2771,EVODEX.2-P288,EVODEX.2-P3102,EVODEX.2-P3262,EVODEX.2-P3292,EVODEX.2-P3298,EVODEX.2-P3310,EVODEX.2-P357,EVODEX.2-P3573,EVODEX.2-P3591,EVODEX.2-P3657,EVODEX.2-P3681,EVODEX.2-P4068,EVODEX.2-P4180,EVODEX.2-P4186,EVODEX.2-P4188,EVODEX.2-P435,EVODEX.2-P667,EVODEX.2-P716,EVODEX.2-P926",51403231428235836922268362061359936879888051347579518356356234141627302081145
EVODEX.2-Em138,[#6:3]-[#6:1](-[#8:92]-[#6:94])(-[#6:4])-[#1:167]>>[#6:3]-[#6:1](-[#8]-[#1])(-[#6:4])-[#1:167].[#6:94]-[#8:92]-[#15](=[#8])(-[#8])-[#8],"EVODEX.2-P1032,EVODEX.2-P1087,EVODEX.2-P1292,EVODEX.2-P1500,EVODEX.2-P164,EVODEX.2-P1846,EVODEX.2-P1940,EVODEX.2-P2046,EVODEX.2-P213,EVODEX.2-P2403,EVODEX.2-P2419,EVODEX.2-P2421,EVODEX.2-P2423,EVODEX.2-P2438,EVODEX.2-P2589,EVODEX.2-P2615,EVODEX.2-P2649,EVODEX.2-P2695,EVODEX.2-P3706,EVODEX.2-P3935,EVODEX.2-P3980,EVODEX.2-P3996,EVODEX.2-P4004,EVODEX.2-P4112,EVODEX.2-P508",109341326825539186744538498571721854210842533284804812485975598490864090601596
EVODEX.2-Em146,[#6:3]-[#6:1](=[#8:4])-[#8:12]-[#1]>>[#6:3]-[#6:1](=[#8:4])-[#7](-[#6])-[#1].[#8:12](-[#1])-[#1],"EVODEX.2-P1202,EVODEX.2-P1236,EVODEX.2-P1272,EVODEX.2-P1404,EVODEX.2-P175,EVODEX.2-P2078,EVODEX.2-P211,EVODEX.2-P2208,EVODEX.2-P2227,EVODEX.2-P2475,EVODEX.2-P2784,EVODEX.2-P2820,EVODEX.2-P3088,EVODEX.2-P3098,EVODEX.2-P3333,EVODEX.2-P3388,EVODEX.2-P3735,EVODEX.2-P3861,EVODEX.2-P4007,EVODEX.2-P4170,EVODEX.2-P4187,EVODEX.2-P4284,EVODEX.2-P453,EVODEX.2-P991",31491515950571714231919089658924533255101330876147433214372274694343291577537
EVODEX.2-Em23,[#8:5]-[#15:4](=[#8:6])(-[#8:2]-[#1])-[#8:7]>>[#8:5]-[#15:4](=[#8:6])(-[#8:7])-[#8:2]-[#15](=[#8])(-[#8])-[#8],"EVODEX.2-P108,EVODEX.2-P1085,EVODEX.2-P125,EVODEX.2-P1285,EVODEX.2-P1300,EVODEX.2-P1493,EVODEX.2-P1560,EVODEX.2-P2224,EVODEX.2-P2273,EVODEX.2-P23,EVODEX.2-P2417,EVODEX.2-P3276,EVODEX.2-P339,EVODEX.2-P3524,EVODEX.2-P3598,EVODEX.2-P3790,EVODEX.2-P3915,EVODEX.2-P4039,EVODEX.2-P439,EVODEX.2-P625,EVODEX.2-P698,EVODEX.2-P730,EVODEX.2-P841",47111798173541329818157817628102892176603376165498960981086696931344760879815
EVODEX.2-Em34,[#8]=[#15](-[#8])(-[#8])-[#8]-[#6:1](-[#6:3])(-[#1:46])-[#1:47].[#8:12]-[#15:11](=[#8:13])(-[#8:14])-[#8:2]-[#15](=[#8])(-[#8])-[#8]>>[#8:12]-[#15:11](=[#8:13])(-[#8:14])-[#8:2]-[#6:1](-[#6:3])(-[#1:46])-[#1:47],"EVODEX.2-P1148,EVODEX.2-P1220,EVODEX.2-P1518,EVODEX.2-P1864,EVODEX.2-P212,EVODEX.2-P2126,EVODEX.2-P2349,EVODEX.2-P247,EVODEX.2-P2717,EVODEX.2-P2740,EVODEX.2-P3048,EVODEX.2-P3240,EVODEX.2-P34,EVODEX.2-P362,EVODEX.2-P3668,EVODEX.2-P428,EVODEX.2-P59,EVODEX.2-P651,EVODEX.2-P931,EVODEX.2-P941",102350243266051678907171010925095670638463715607694424999940599669230778584383
EVODEX.2-Em78,[#6:4]-[#6:1](-[#6:3])(-[#8]-[#1])-[#1:235].[#6:106]-[#8:2]-[#15](=[#8])(-[#8])-[#8]>>[#6:4]-[#6:1](-[#6:3])(-[#8:2]-[#6:106])-[#1:235],"EVODEX.2-P1158,EVODEX.2-P116,EVODEX.2-P1193,EVODEX.2-P1357,EVODEX.2-P1751,EVODEX.2-P1796,EVODEX.2-P2222,EVODEX.2-P2271,EVODEX.2-P2303,EVODEX.2-P2601,EVODEX.2-P2834,EVODEX.2-P314,EVODEX.2-P3836,EVODEX.2-P396,EVODEX.2-P4005,EVODEX.2-P4038,EVODEX.2-P4207,EVODEX.2-P4262,EVODEX.2-P727,EVODEX.2-P84",70252189809446192598097007492703197490538758444460090161834793667662617391191
EVODEX.2-Em85,[#6]-[#6](-[#7:2](-[#1])-[#1])(-[#6](=[#8])-[#8])-[#1].[#8:5]=[#6:3](-[#8:6])-[#6:1](=[#8])-[#6:4]>>[#7:2](-[#6:1](-[#6:4])(-[#6:3](=[#8:5])-[#8:6])-[#1])(-[#1])-[#1],"EVODEX.2-P1138,EVODEX.2-P1231,EVODEX.2-P1517,EVODEX.2-P1758,EVODEX.2-P2360,EVODEX.2-P2400,EVODEX.2-P2922,EVODEX.2-P2971,EVODEX.2-P3184,EVODEX.2-P3224,EVODEX.2-P3277,EVODEX.2-P3950,EVODEX.2-P4091,EVODEX.2-P4127,EVODEX.2-P629,EVODEX.2-P834,EVODEX.2-P868,EVODEX.2-P93,EVODEX.2-P964,EVODEX.2-P975",9946239184397443530023568681129930246065419313283258485017250968418521937278
EVODEX.2-Em86,[#8:5]=[#6:3](-[#8:6])-[#6:1](=[#8:15])-[#6:4]>>[#7](-[#6:1](-[#6:4])(-[#6:3](=[#8:5])-[#8:6])-[#1])(-[#1])-[#1].[#6]-[#6](=[#8:15])-[#6](=[#8])-[#8],"EVODEX.2-P1139,EVODEX.2-P1263,EVODEX.2-P128,EVODEX.2-P1680,EVODEX.2-P1742,EVODEX.2-P2117,EVODEX.2-P2312,EVODEX.2-P2551,EVODEX.2-P2946,EVODEX.2-P3029,EVODEX.2-P3278,EVODEX.2-P3503,EVODEX.2-P3805,EVODEX.2-P3807,EVODEX.2-P3808,EVODEX.2-P3916,EVODEX.2-P3956,EVODEX.2-P665,EVODEX.2-P94,EVODEX.2-P965",46594870736397084880168249658477386483395567540777095997671101389405301261409
EVODEX.2-Em99,[#6:15]-[#7:14](-[#6:1](=[#8:3])-[#6:4])-[#1].[#8:24]-[#15:23](=[#8:25])(-[#8:21]-[#1])-[#8:26]>>[#8:3]=[#6:1](-[#8]-[#1])-[#6:4].[#7:14](-[#6:15])(-[#1])-[#1].[#8:24]-[#15:23](=[#8:25])(-[#8:26])-[#8:21]-[#15](=[#8])(-[#8])-[#8],"EVODEX.2-P1089,EVODEX.2-P111,EVODEX.2-P1343,EVODEX.2-P1842,EVODEX.2-P2204,EVODEX.2-P2206,EVODEX.2-P2291,EVODEX.2-P2292,EVODEX.2-P2469,EVODEX.2-P2637,EVODEX.2-P2824,EVODEX.2-P301,EVODEX.2-P3532,EVODEX.2-P3640,EVODEX.2-P3641,EVODEX.2-P3819,EVODEX.2-P3961,EVODEX.2-P4267,EVODEX.2-P429,EVODEX.2-P986",53875219822509045315323246521631693483748557109243996675570577933324666414511
EVODEX.2-Em125,[#6:51]-[#6:49](=[#8:52])-[#16:1]-[#6:2].[#8:71]-[#15:70](=[#8:72])(-[#8:68]-[#1])-[#8:73]>>[#6:2]-[#16:1]-[#1].[#6:51]-[#6:49](=[#8:52])-[#8]-[#1].[#8:71]-[#15:70](=[#8:72])(-[#8:73])-[#8:68]-[#15](=[#8])(-[#8])-[#8],"EVODEX.2-P1037,EVODEX.2-P1294,EVODEX.2-P1315,EVODEX.2-P145,EVODEX.2-P1553,EVODEX.2-P1566,EVODEX.2-P1581,EVODEX.2-P2142,EVODEX.2-P2223,EVODEX.2-P2263,EVODEX.2-P2404,EVODEX.2-P2822,EVODEX.2-P2892,EVODEX.2-P4018,EVODEX.2-P4130,EVODEX.2-P4131,EVODEX.2-P622,EVODEX.2-P633,EVODEX.2-P657,EVODEX.2-P992",104200596961492903546333569858109306240470666701601219422082674816493293265986
EVODEX.2-Em144,[#6:3]-[#6:1](=[#8:4])-[#8]-[#1].[#7:2](-[#6:17])(-[#1])-[#1].[#8]-[#15](=[#8])(-[#8])-[#8:23]-[#15:24](=[#8:25])(-[#8:26])-[#8:27]>>[#6:3]-[#6:1](=[#8:4])-[#7:2](-[#6:17])-[#1].[#8:25]=[#15:24](-[#8:23]-[#1])(-[#8:26])-[#8:27],"EVODEX.2-P1355,EVODEX.2-P1427,EVODEX.2-P1428,EVODEX.2-P1579,EVODEX.2-P172,EVODEX.2-P1971,EVODEX.2-P2011,EVODEX.2-P2203,EVODEX.2-P2757,EVODEX.2-P2920,EVODEX.2-P2987,EVODEX.2-P3212,EVODEX.2-P3216,EVODEX.2-P3441,EVODEX.2-P3834,EVODEX.2-P3967,EVODEX.2-P621,EVODEX.2-P826,EVODEX.2-P857,EVODEX.2-P899",13972821944631323154247873126856177297348813082327576533572124451648879377153
