id,smarts,rc_plus_0_id
0,[C&D2&v4&H1&0*&!R&z1:1].[O&D1&v2&H1&0*&!R:2].[c&D3&v4&H0&0*&R&z0:3]1:[c&D2&v4&H1&0*&R&z0:4]:[c&D2&v4&H1&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z1:6]:[n&D3&v4&H0&+&R:7]:[c&D2&v4&H1&0*&R&z1:8]:1>>[C&D3&v4&H0&0*&!R&z2:1]-[O&D2&v2&H0&0*&!R:2].[C&D3&v4&H0&0*&R&z0:3]1=[C&D2&v4&H1&0*&R&z1:8]-[N&D3&v3&H0&0*&R:7]-[C&D2&v4&H1&0*&R&z1:6]=[C&D2&v4&H1&0*&R&z0:5]-[C&D2&v4&H2&0*&R&z0:4]-1,819
1,[C&D3&v4&H1&0*&!R&z1:1](-[O&D1&v2&H1&0*&!R:2])-[C&D3&v4&H1&0*&!R&z1:3]-[O&D1&v2&H1&0*&!R:4]>>[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z1:3]=[O&D1&v2&H0&0*&!R:4].[O&D0&v2&H2&0*&!R:2],402
2,[C&D3&v4&H0&0*&!R&z2:1]-[O&D2&v2&H0&0*&!R:2].[P&D4&v5&H0&0*&!R:3]-[O&D1&v2&H1&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z2:1]-[O&D1&v2&H1&0*&!R:4].[O&D2&v2&H0&0*&!R:2]-[P&D4&v5&H0&0*&!R:3],994
3,[C&D3&v4&H1&0*&R&z1:1]-[O&D2&v2&H0&0*&!R:2].[O&D0&v2&H2&0*&!R:3]>>[C&D3&v4&H1&0*&R&z1:1]-[O&D1&v2&H1&0*&!R:3].[O&D1&v2&H1&0*&!R:2],517
4,[C&D2&v4&H1&0*&!R&z1:1].[O&D0&v2&H2&0*&!R:2].[c&D3&v4&H0&0*&R&z0:3]1:[c&D2&v4&H1&0*&R&z0:4]:[c&D2&v4&H1&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z1:6]:[n&D3&v4&H0&+&R:7]:[c&D2&v4&H1&0*&R&z1:8]:1>>[C&D3&v4&H0&0*&!R&z2:1]-[O&D1&v2&H1&0*&!R:2].[C&D3&v4&H0&0*&R&z0:3]1=[C&D2&v4&H1&0*&R&z1:8]-[N&D3&v3&H0&0*&R:7]-[C&D2&v4&H1&0*&R&z1:6]=[C&D2&v4&H1&0*&R&z0:5]-[C&D2&v4&H2&0*&R&z0:4]-1,819
5,[C&D3&v4&H1&0*&R&z1:1]-[O&D1&v2&H1&0*&!R:2].[c&D3&v4&H0&0*&R&z0:3]1:[c&D2&v4&H1&0*&R&z0:4]:[c&D2&v4&H1&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z1:6]:[n&D3&v4&H0&+&R:7]:[c&D2&v4&H1&0*&R&z1:8]:1>>[C&D3&v4&H0&0*&R&z0:3]1=[C&D2&v4&H1&0*&R&z1:8]-[N&D3&v3&H0&0*&R:7]-[C&D2&v4&H1&0*&R&z1:6]=[C&D2&v4&H1&0*&R&z0:5]-[C&D2&v4&H2&0*&R&z0:4]-1.[C&D3&v4&H0&0*&R&z1:1]=[O&D1&v2&H0&0*&!R:2],435
6,[C&D3&v4&H0&0*&!R&z2:1]-[O&D1&v2&H1&0*&!R:2].[O&D1&v2&H1&0*&!R:3].[P&D4&v5&H0&0*&!R:4]-[O&D1&v2&H1&0*&!R:5]>>[C&D3&v4&H0&0*&!R&z2:1]-[O&D1&v2&H1&0*&!R:5].[O&D0&v2&H2&0*&!R:2].[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:4],607
7,[O&D0&v2&H2&0*&!R:1].[c&D3&v4&H0&0*&R&z1:2]-[O&D2&v2&H0&0*&!R:3]>>[O&D1&v2&H1&0*&!R:3].[c&D3&v4&H0&0*&R&z1:2]-[O&D1&v2&H1&0*&!R:1],517
8,[C&D3&v4&H0&0*&R&z1:1]=[O&D1&v2&H0&0*&!R:2].[C&D3&v4&H1&0*&!R&z1:3]-[N&D1&v3&H2&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z1:3]=[O&D1&v2&H0&0*&!R:2].[N&D1&v3&H2&0*&!R:4]-[C&D3&v4&H1&0*&R&z1:1],103
9,[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z1:2]-[C&D2&v4&H2&0*&!R&z1:3]-[O&D1&v2&H1&0*&!R:4]>>[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H1&0*&!R&z1:3]-[C&D3&v4&H1&0*&!R&z1:2]-[O&D1&v2&H1&0*&!R:1],693
10,[O&D2&v2&H0&0*&!R:1]-[C&D3&v4&H0&0*&!R&z2:2].[S&D1&v2&H1&0*&!R:3]>>[C&D3&v4&H0&0*&!R&z2:2]-[S&D2&v2&H0&0*&!R:3].[O&D1&v2&H1&0*&!R:1],849
11,[P&D4&v5&H0&0*&!R:1]-[O&D1&v2&H1&0*&!R:2].[c&D3&v4&H0&0*&R&z1:3]-[O&D2&v2&H0&0*&!R:4]>>[P&D4&v5&H0&0*&!R:1]-[O&D2&v2&H0&0*&!R:4].[c&D3&v4&H0&0*&R&z1:3]-[O&D1&v2&H1&0*&!R:2],994
12,[C&D3&v4&H0&0*&!R&z2:1](-[N&D1&v3&H2&0*&!R:2])=[O&D1&v2&H0&0*&!R:3].[O&D0&v2&H2&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:3])-[O&D1&v2&H1&0*&!R:4].[N&D0&v3&H3&0*&!R:2],587
