id,smarts,ni_ids
30,([#6:1]-[#8:2].[#6:3]-[#6:4]=[#8:5])>>[#6:1]-[#8:5]-[#6:4]=[#6:3].[#8:2],['rule0138']
31,[#6:1]-[#6:2]-[#6:3]=[#6:4].[#8:5]>>[#6:1].[#6:2]=[#6:3]-[#6:4]-[#8:5],['rule0635']
32,[#16:1].[#6:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#6:2]-[#16:1].[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1,"['rule0142', 'rule1169']"
33,([#8:1].[#8:2]-[#15:3])>>([#8:2].[#8:1]-[#15:3]),['rule0129']
34,[#6:1]-[#7:2].[#6:3]-[#8:4]>>[#6:3]-[#7:2].[#6:1]-[#8:4],['rule0361']
35,([#7:1].[#6:2]=[#8:3])>>[#6:2]=[#7+:1].[#8:3],['rule0339']
36,([#6:1]-[#8:2].[#6:3]-[#16:4])>>([#6:3]-[#8:2].[#6:1]-[#16:4]),['rule0893']
37,[#6:1]-[#6:2]=[#6:3]-[#6:4].[#8:5]=[#8:6]>>[#6:1]=[#6:2]-[#6:3]=[#6:4].[#8:5]-[#8:6],['rule0609']
38,[#6:1]-[#6:2]=[#8:3].[#8:4]-[#16:5]>>[#8:4]=[#16:5]-[#6:1]-[#6:2]-[#8:3],['rule1121']
39,[#6:1]-[#6:2]-[#6:3]1-[#6:4]-[#6:5]-[#6:6]-[#6:7]=[#6:8]-1.[#8:9]>>([#6:1]=[#6:2].[#6:4]-[#6:3]-[#6:8]-[#6:7]=[#6:6]-[#6:5]-[#8:9]),['rule0455']
40,([#6:1]=[#6:2].[#6:3]-[#8:4])>>[#6:1]1-[#6:2]-[#6:3]-1.[#8:4],['rule0397']
41,[#6:1]-[#7+:2].[#7:3]>>([#7+0:2].[#6:1]-[#7+:3]),['rule0623']
42,[#6:1]-[#6:2]-[#7:3]>>[#6:1]=[#6:2].[#7:3],"['rule0244', 'rule0302']"
43,([#8:1].[#6:2]1=[#7:3]-[#6:4]:[#6:5]-[#7:6]-[#6:7]-1).[#8:8]=[#6:9]-[#8:10]>>[#8:8].[#8:1]-[#6:7](-[#6:2]-[#8:10])-[#7:6]1:[#6:5]:[#6:4]:[#7:3]:[#6:9]:1,['rule1068']
44,([#6:1].[#8:2].[#6:3]=[#6:4]).[#8:5]=[#8:6]>>[#6:1]-[#6:3]-[#6:4]-[#8:2].[#8:5]-[#8:6],['rule1187']
45,[#8:1].[#8:2]-[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#6:7]:[#6:8]:1>>[#8:2]=[#6:3]1-[#6:4]-[#6:5](-[#8:1])-[#6:6]-[#6:7]=[#6:8]-1,['rule1060']
46,[#6:1]-[#6:2]=[#7:3].[#8:4]>>[#7:3]-[#6:2]-[#6:1]-[#8:4],['rule0659']
47,[#6:1]-[#16+:2].[#6:3]-[#8:4]>>[#16+0:2].[#6:1].[#6:3]=[#8:4],['rule0884']
