id,smarts,retrobiocat_name
62,([O:1]=[#6:2][#6:3][#6:4].[#6:5][#6R0:6][OH:7])>>([OH:1][#6:2]1[#6:3][#6:4].[#6:5][#6:6][O:7]1),hemiacetal_opening
63,[#6:1][#6:2]([OH:3])[#6:4]#[N:5]>>[#6:1][#6H1:2]=[O:3],hydrocyanation
64,[#6:1][#6:2]([OH:3])[#6:4][N+:5]([O-:6])=[O:7]>>[#6:1][#6H1:2]=[O:3],hydrocyanation_(no)
65,[#7:7]-[c:1]1[c:2][c:3][c:4][c:5][c:6]1>>[#8H1]-[#7H1:7]-[c:1]1[c:2][c:3][c:4][c:5][c:6]1,hydroxylamine_reduction
66,[#6X3;z1:1]=[OH0:2] >> [#6X3;z1:1]=[NH1],imine_hydrolysis
67,"[#6r5,r6;R1:1]-[#7R1:2]-[#6R1:3]=[O:4]>>[#6r5,r6;R1:1]-[#7R1:2]=[#6R1:3]",imine_oxidation
68,"[#6z1X3:1]=[#7H0;+0;R0:2][#6X4z1,c:3]>>[#6:1]=[O].[#7:2][#6,c:3]",imine_formation
69,[#6X4;z1:2]-[#7X3;z0:3]>>[#6X4;z1:2]=[#7X3;z0:3],imine_reduction_0
70,[#6:1]-[#6@@H;X4:3](-[#6:2])-[#7X3;z0:4]>>[#6:1]-[#6H0;X3:3](-[#6:2])=[#7X3;z0:4],imine_reduction_1
71,[#6:1]-[#6@H;X4:3](-[#6:2])-[#7X3;z0:4]>>[#6:1]-[#6H0;X3:3](-[#6:2])=[#7X3;z0:4],imine_reduction_2
72,[#6;X3:1]=[#6:2]([NH1:3])[#6;X4:4]>>[#6h1;X4:1][#6:2](=[N:3])[#6;X4:4],imine_enaminetautomerisation_fwd
73,[#6X4:1]-[#6:2](=[N:3])-[#6X4:4]>>[#6:1]=[#6:2](-[N:3])-[#6:4],imine_enaminetautomerisation_rev
74,[#6:3][#6;R0:1](-[#6:4])=[#7+:2]([#6:5])-[#6:6]>>[#6:5]-[#7H1;+0:2]-[#6:6].[#6:3]-[#6;R0:1](-[#6:4])=[O],iminium_formation_0
75,[#6H1;R0:1](-[#6:4])=[#7+:2](/[#6:5])-[#6:6]>>[#6:5]-[#7H1;+0:2]-[#6:6].[#6H1;R0:1](-[#6:4])=[O],iminium_formation_1
76,[#6;R1:3]@[#6;R1:1](@[#6;R1:4])=[#7+:2](/[#6:5])-[#6:6]>>[#6:5]-[#7H1;+0:2]-[#6:6].[#6;x1;R1:3][#6x1;R1:1]([#6;x1;R1:4])=[O;R1],iminium_formation_2
77,[#6:10][#6X4:1][#7H0;+0;X3:2](-[#6X4:3])-[#6X4:4]>>[#6:10][#6X3;H1:1]=[#7H0+X3:2](-[#6X4:3])-[#6X4:4],iminium_reduction_0
78,[#6:10][#6X4:1]([#6:11])[#7H0;+0;X3:2](-[#6X4:3])-[#6X4:4]>>[#6:10][#6H0X3:1]([#6:11])=[#7H0+X3:2](-[#6X4:3])-[#6X4:4],iminium_reduction_1
79,"([NH0;+0;R:1]1[#6X4:2].[#6r5,r6,r7:6]=1)>>([N;+0:1][#6X4:2].[#6r5,r6,r7:6]=[O])",intramolecular_imine_formation
80,([N;+0:1][#6X4:2].[#6:4][#6:5][#6;z1:6]=[OH0:10])>>([NH0;+0:1]1[#6X4:2].[#6:4][#6:5][#6:6]=1),intramolecular_imine_hydrolysis
81,"([#6r5,r6,r7:7][#7+:1]1=[#6R:6].[#6:2]1)>>([#6r5,r6,r7:7][#7;+0:1][#6:2].[#6:6]=[O])",intramolecular_iminium_formation
82,([#6:7][#7R0;+0:1][#6:2].[#6:4][#6:5][#6;z1:6]=[OH0:10])>>([#6:7][#7+;H0:1]1=[#6:6][#6:5][#6:4].[#6:2]1),intramolecular_iminium_hydrolysis
83,[#7H2:1]-[#6@H:2](-[#6H2X4:3])-[#6:11](-[#8H:13])=[O:12]>>[#8H:13]-[#6:11](=[O:12])-[#6H0:2](=[O])-[#6H2X4:3],keto_acid_reduction_0
84,[#7H2:1]-[#6H:2](-[#6H2X4:3])-[#6:11](-[#8H:13])=[O:12]>>[#8H:13]-[#6:11](=[O:12])-[#6H0:2](=[O])-[#6H2X4:3],keto_acid_reduction_1
85,[#6:5][#6:6]([#7H2;R0:3])[#6:8]>>[#6:5][#6H0:6](=[#8])[#6:8],ketone_amination
86,[#6:5]-[#6:4]-[#8:6]-[#6:2](-[#6:1])=[O:3]>>[#6:5]-[#6:4]-[#6:2](-[#6:1])=[O:3],ketone_oxidation_(bvmo)
87,[#6:1][#6:2]([#6:3])[#8H1:4]>>[#6:1][#6H0:2]([#6:3])=[#8:4],ketone_reduction
88,[#6:1]-[#6:2](-[#6z0;X4:4])=[O:3]>>[#6:1]-[#6:2](-[#8:3])=[#6z0;X3:4],keto–enol_tautomerism_fwd
89,[#6:1]-[#6:2](-[#8:3])=[#6z0;X3:4]>>[#6:1]-[#6:2](-[#6z0;X4:4])=[O:3],keto–enol_tautomerism_rev
90,([N:1]1[#6:2].[#6:4][#6R1:5](=[OH0:6])1)>>([N:1][#6:2].[#6:4][#6:5](=[O:6])[O][#6]),lactam_closure
91,([N:1][#6X4:2][#6:3].[#6R0:4][#6R0:5](=[O:6])[OH:7])>>([N:1]1[#6:2][#6:3].[#6R1:4][#6R1:5](=[OH0:6])1),lactam_hydrolysis
92,([OH0:1]1[#6:2].[#6:4][#6R1:5](=[OH0:6])1)>>([OH:1][#6:2].[#6:4][#6:5](=[O:6])[O][#6]),lactone_closure
93,([OH:1][#6X4:2].[#6:4][#6:5](=[O:6])[OH:7])>>([OH0:1]1[#6:2].[#6:4][#6R1:5](=[OH0:6])1),lactone_hydrolysis
94,[#6:1]-[#6:2](-[OH:5])(-[#6:3])-[#6H3:4]>>[#6:1]-[#6:2](-[#6:3])=[#6H2:4],limonene_hydrolysis
95,[#6X4z1:1][Nz0:2][#6H3:3]>>[#6:1][N:2],n_methylation
96,[#6:1][#6X3H0:2](=[O:4])[NX3H2:3]>>[#6:1][#6X2H0:2]#[NX3H0:3],nitrile_hydrolysis_(conh)
97,[#6:1][#6X3H0:2](=[O:4])[OH:5]>>[#6:1][#6X2H0:2]#[NX3H0],nitrile_hydrolysis_(cooh)
98,[#6:1][#6X4H2:2][NX3H2:3]>>[#6:1][#6X2:2]#[NX3:3],nitrile_reduction
99,[#7H2:7]-[c:1]1[c:2][c:3][c:4][c:5][c:6]1>>[O]-[#7:7](-[O])-[c:1]1[c:2][c:3][c:4][c:5][c:6]1,nitro_over_reduction
100,[#8H1:8]-[#7:7]-[c:1]1[c:2][c:3][c:4][c:5][c:6]1>>[O:8]-[#7:7](-[O])-[c:1]1[c:2][c:3][c:4][c:5][c:6]1,nitro_reduction
