id,smarts,rc_plus_0_id
10,[C&D2&v4&H2&0*&!R&z1:1]-[S&D1&v2&H1&0*&!R:2].[C&D3&v4&H1&0*&!R&z1:3]-[O&D2&v2&H0&0*&!R:4]-[C&D3&v4&H0&0*&!R&z2:5](=[O&D1&v2&H0&0*&!R:6])-[C&D2&v4&H2&0*&!R&z0:7]>>[C&D2&v4&H2&0*&!R&z0:7]-[C&D3&v4&H0&0*&!R&z2:5](=[O&D1&v2&H0&0*&!R:6])-[S&D2&v2&H0&0*&!R:2]-[C&D2&v4&H2&0*&!R&z1:1].[C&D3&v4&H1&0*&!R&z1:3]-[O&D1&v2&H1&0*&!R:4],849
11,[O&D2&v2&H0&0*&!R:1]-[P&D4&v5&H0&0*&!R:2](=[O&D1&v2&H0&0*&!R:3])(-[O&D1&v2&H1&0*&!R:4])-[O&D1&v2&H1&0*&!R:5].[c&D2&v4&H1&0*&R&z0:6]:[c&D3&v4&H0&0*&R&z1:7](-[O&D2&v2&H0&0*&!R:8]-[S&D4&v6&H0&0*&!R:9]):[c&D3&v4&H0&0*&R&z1:10]>>[O&D2&v2&H0&0*&!R:1]-[P&D4&v5&H0&0*&!R:2](=[O&D1&v2&H0&0*&!R:3])(-[O&D1&v2&H1&0*&!R:5])-[O&D2&v2&H0&0*&!R:8]-[S&D4&v6&H0&0*&!R:9].[c&D2&v4&H1&0*&R&z0:6]:[c&D3&v4&H0&0*&R&z1:7](-[O&D1&v2&H1&0*&!R:4]):[c&D3&v4&H0&0*&R&z1:10],994
12,[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z2:2](-[N&D1&v3&H2&0*&!R:3])=[O&D1&v2&H0&0*&!R:4].[O&D0&v2&H2&0*&!R:5]>>[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z2:2](=[O&D1&v2&H0&0*&!R:4])-[O&D1&v2&H1&0*&!R:5].[N&D0&v3&H3&0*&!R:3],587
13,[C&D3&v4&H1&0*&!R&z1:1]-[O&D1&v2&H1&0*&!R:2].[C&D3&v4&H1&0*&!R&z1:3]-[O&D2&v2&H0&0*&!R:4]-[C&D3&v4&H0&0*&!R&z3:5](-[*:6])=[O&D1&v2&H0&0*&!R:7]>>[C&D3&v4&H1&0*&!R&z1:3]-[O&D1&v2&H1&0*&!R:4].[C&D3&v4&H1&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:2]-[C&D3&v4&H0&0*&!R&z3:5](-[*:6])=[O&D1&v2&H0&0*&!R:7],517
14,[C&D1&v4&H3&0*&!R&z0:1]-[C&D3&v4&H1&0*&!R&z0:2](-[C&D2&v4&H2&0*&!R&z0:3]-[C&D2&v4&H2&0*&!R&z0:4])-[C&D3&v4&H0&0*&!R&z2:5].[O&D1&v2&H0&0*&!R:6]=[O&D1&v2&H0&0*&!R:7]>>[C&D1&v4&H3&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z0:2](=[C&D2&v4&H1&0*&!R&z0:3]-[C&D2&v4&H2&0*&!R&z0:4])-[C&D3&v4&H0&0*&!R&z2:5].[O&D1&v2&H1&0*&!R:6]-[O&D1&v2&H1&0*&!R:7],734
15,[C&D1&v4&H2&0*&!R&z0:1]=[C&D2&v4&H1&0*&!R&z0:2]-[C&D4&v4&H0&0*&R&z0:3]1(-[C&D1&v4&H3&0*&!R&z0:4])-[C&D2&v4&H2&0*&R&z0:5]-[C&D2&v4&H1&0*&R&z0:6]=[C&D3&v4&H0&0*&R&z0:7](-[C&D3&v4&H1&0*&R&z0:8](-[C&D2&v4&H2&0*&R&z0:9])-[C&D2&v4&H2&0*&R&z0:10]-1)-[C&D4&v4&H0&0*&R&z0:11].[P&D4&v5&H0&0*&!R:12]-[O&D1&v2&H1&0*&!R:13]>>[C&D1&v4&H2&0*&!R&z0:10]=[C&D3&v4&H0&0*&R&z0:8](-[C&D2&v4&H2&0*&R&z0:9])-[C&D3&v4&H1&0*&R&z0:7](-[C&D4&v4&H0&0*&R&z0:11])-[C&D2&v4&H2&0*&!R&z0:6]-[C&D2&v4&H2&0*&!R&z0:5]-[C&D3&v4&H0&0*&!R&z0:3](-[C&D1&v4&H3&0*&!R&z0:4])=[C&D2&v4&H1&0*&!R&z0:2]-[C&D2&v4&H2&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:13]-[P&D4&v5&H0&0*&!R:12],18
16,[C&D1&v4&H3&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z2:2](=[O&D1&v2&H0&0*&!R:3])-[S&D2&v2&H0&0*&!R:4]-[C&D2&v4&H2&0*&!R&z1:5].[C&D3&v4&H1&0*&!R&z1:6]-[N&D1&v3&H2&0*&!R:7]>>[C&D2&v4&H2&0*&!R&z1:5]-[S&D1&v2&H1&0*&!R:4].[C&D3&v4&H1&0*&!R&z1:6]-[N&D2&v3&H1&0*&!R:7]-[C&D3&v4&H0&0*&!R&z2:2](-[C&D1&v4&H3&0*&!R&z0:1])=[O&D1&v2&H0&0*&!R:3],347
17,[C&D2&v4&H2&0*&!R&z0:1]-[C&D2&v4&H1&0*&!R&z0:2]=[C&D2&v4&H1&0*&!R&z0:3]-[C&D2&v4&H2&0*&!R&z0:4]-[C&D2&v4&H1&0*&!R&z0:5].[O&D1&v2&H0&0*&!R:6]=[O&D1&v2&H0&0*&!R:7]>>[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H1&0*&!R&z1:2](-[C&D2&v4&H1&0*&!R&z0:3]=[C&D2&v4&H1&0*&!R&z0:4]-[C&D2&v4&H1&0*&!R&z0:5])-[O&D2&v2&H0&0*&!R:6]-[O&D1&v2&H1&0*&!R:7],714
18,[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z2:2](=[O&D1&v2&H0&0*&!R:3])-[S&D2&v2&H0&0*&!R:4]-[C&D2&v4&H2&0*&!R&z1:5].[C&D3&v4&H0&0*&!R&z2:6]-[C&D2&v4&H2&0*&!R&z0:7]-[C&D3&v4&H0&0*&!R&z2:8](=[O&D1&v2&H0&0*&!R:9])-[O&D1&v2&H1&0*&!R:10]>>[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z1:2](=[O&D1&v2&H0&0*&!R:3])-[C&D2&v4&H2&0*&!R&z0:7]-[C&D3&v4&H0&0*&!R&z2:6].[C&D2&v4&H2&0*&!R&z1:5]-[S&D1&v2&H1&0*&!R:4].[O&D1&v2&H0&0*&!R:10]=[C&D2&v4&H0&0*&!R&z2:8]=[O&D1&v2&H0&0*&!R:9],655
19,[C&D1&v4&H3&0*&!R&z1:1]-[N&D2&v3&H1&0*&!R:2]-[C&D2&v4&H2&0*&!R&z1:3].[C&D2&v4&H2&0*&!R&z1:4]-[S&D2&v2&H0&0*&!R:5]-[C&D2&v4&H2&0*&!R&z1:6]>>[C&D1&v4&H3&0*&!R&z1:1]-[S&D3&v3&H0&+&!R:5](-[C&D2&v4&H2&0*&!R&z1:6])-[C&D2&v4&H2&0*&!R&z1:4].[N&D1&v3&H2&0*&!R:2]-[C&D2&v4&H2&0*&!R&z1:3],573
20,[C&D3&v4&H1&0*&!R&z1:1]-[C&D3&v4&H0&0*&!R&z2:2](=[O&D1&v2&H0&0*&!R:3])-[O&D1&v2&H1&0*&!R:4].[C&D3&v4&H1&0*&!R&z1:5]-[N&D1&v3&H2&0*&!R:6]>>[C&D3&v4&H1&0*&!R&z1:5]-[N&D2&v3&H1&0*&!R:6]-[C&D3&v4&H0&0*&!R&z2:2](=[O&D1&v2&H0&0*&!R:3])-[C&D3&v4&H1&0*&!R&z1:1].[O&D0&v2&H2&0*&!R:4],175
21,[C&D3&v4&H1&0*&!R&z1:1]-[O&D1&v2&H1&0*&!R:2].[c&D2&v4&H1&0*&R&z1:3]:[n&D3&v4&H0&+&R:4](-[C&D3&v4&H1&0*&R&z2:5](-[O&D2&v2&H0&0*&R:6])-[C&D3&v4&H1&0*&R&z1:7]):[c&D2&v4&H1&0*&R&z1:8]>>[C&D3&v4&H1&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:2]-[C&D3&v4&H1&0*&R&z2:5](-[O&D2&v2&H0&0*&R:6])-[C&D3&v4&H1&0*&R&z1:7].[c&D2&v4&H1&0*&R&z1:3]:[n&D2&v3&H0&0*&R:4]:[c&D2&v4&H1&0*&R&z1:8],222
22,[C&D3&v4&H1&0*&R&z1:1]-[C&D3&v4&H1&0*&R&z1:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H1&0*&R&z1:4].[P&D4&v5&H0&0*&!R:5]-[O&D1&v2&H1&0*&!R:6]>>[C&D3&v4&H1&0*&R&z1:4]-[C&D3&v4&H1&0*&R&z1:2](-[O&D2&v2&H0&0*&!R:6]-[P&D4&v5&H0&0*&!R:5])-[C&D3&v4&H1&0*&R&z1:1].[O&D0&v2&H2&0*&!R:3],517
23,[C&D2&v4&H2&0*&!R&z1:1]-[S&D1&v2&H1&0*&!R:2].[C&D3&v4&H1&0*&!R&z1:3]-[C&D3&v4&H0&0*&!R&z2:4](=[O&D1&v2&H0&0*&!R:5])-[O&D1&v2&H1&0*&!R:6].[O&D2&v2&H0&0*&!R:7]-[P&D4&v5&H0&0*&!R:8](=[O&D1&v2&H0&0*&!R:9])(-[O&D1&v2&H1&0*&!R:10])-[O&D2&v2&H0&0*&!R:11]-[P&D4&v5&H0&0*&!R:12]>>[C&D2&v4&H2&0*&!R&z1:1]-[S&D2&v2&H0&0*&!R:2]-[C&D3&v4&H0&0*&!R&z2:4](=[O&D1&v2&H0&0*&!R:5])-[C&D3&v4&H1&0*&!R&z1:3].[O&D2&v2&H0&0*&!R:7]-[P&D4&v5&H0&0*&!R:8](=[O&D1&v2&H0&0*&!R:9])(-[O&D1&v2&H1&0*&!R:6])-[O&D1&v2&H1&0*&!R:10].[P&D4&v5&H0&0*&!R:12]-[O&D1&v2&H1&0*&!R:11],1023
