id,smarts,sources,hash
EVODEX.2-Dm86,[#6]-[#6](-[#7:2](-[#1])-[#1])(-[#6]=[#8])-[#1].[#8:5]=[#6:3]-[#6:1](=[#8])-[#6:4]>>[#7:2](-[#6:1](-[#6:4])(-[#6:3]=[#8:5])-[#1])(-[#1])-[#1],"EVODEX.2-P1138,EVODEX.2-P1231,EVODEX.2-P1517,EVODEX.2-P1758,EVODEX.2-P2360,EVODEX.2-P2400,EVODEX.2-P2922,EVODEX.2-P2971,EVODEX.2-P3184,EVODEX.2-P3224,EVODEX.2-P3277,EVODEX.2-P3950,EVODEX.2-P4091,EVODEX.2-P4127,EVODEX.2-P629,EVODEX.2-P834,EVODEX.2-P868,EVODEX.2-P93,EVODEX.2-P964,EVODEX.2-P975",44317964213351116313636053199126598175059252674889067594377478641555578221164
EVODEX.2-Dm87,[#8:5]=[#6:3]-[#6:1](=[#8:15])-[#6:4]>>[#7](-[#6:1](-[#6:4])(-[#6:3]=[#8:5])-[#1])(-[#1])-[#1].[#6]-[#6](=[#8:15])-[#6]=[#8],"EVODEX.2-P1139,EVODEX.2-P1263,EVODEX.2-P128,EVODEX.2-P1680,EVODEX.2-P1742,EVODEX.2-P2117,EVODEX.2-P2312,EVODEX.2-P2551,EVODEX.2-P2946,EVODEX.2-P3029,EVODEX.2-P3278,EVODEX.2-P3503,EVODEX.2-P3805,EVODEX.2-P3807,EVODEX.2-P3808,EVODEX.2-P3916,EVODEX.2-P3956,EVODEX.2-P665,EVODEX.2-P94,EVODEX.2-P965",31911730183881457870051470804317873569896826369423518723799022393139234873699
EVODEX.2-Dm183,[#6:3]-[#6:1](-[#8:25]-[#15:27]=[#8:28])(-[#1:60])-[#1:61]>>[#6:3]-[#6:1](-[#8]-[#15]=[#8])(-[#1:60])-[#1:61].[#8]-[#15](=[#8])(-[#8])-[#8:25]-[#15:27]=[#8:28],"EVODEX.2-P1072,EVODEX.2-P1128,EVODEX.2-P1149,EVODEX.2-P1519,EVODEX.2-P1707,EVODEX.2-P1854,EVODEX.2-P1886,EVODEX.2-P231,EVODEX.2-P2334,EVODEX.2-P2412,EVODEX.2-P2449,EVODEX.2-P2802,EVODEX.2-P2813,EVODEX.2-P3026,EVODEX.2-P3049,EVODEX.2-P3241,EVODEX.2-P3629,EVODEX.2-P4201,EVODEX.2-P942,EVODEX.2-P955",100597217229974578159065543292787092881831026127406895735694660669395620939233
EVODEX.2-Dm489,[#6:13]-[#6:11](-[#7](-[#1])-[#1])(-[#6:14]=[#8:17])-[#1].[#6]-[#6](=[#8:12])-[#6]=[#8]>>[#6:13]-[#6:11](=[#8:12])-[#6:14]=[#8:17],"EVODEX.2-P1043,EVODEX.2-P1696,EVODEX.2-P1713,EVODEX.2-P1780,EVODEX.2-P1987,EVODEX.2-P2116,EVODEX.2-P2311,EVODEX.2-P2532,EVODEX.2-P2699,EVODEX.2-P2705,EVODEX.2-P2766,EVODEX.2-P3028,EVODEX.2-P3236,EVODEX.2-P3480,EVODEX.2-P3502,EVODEX.2-P3694,EVODEX.2-P3748,EVODEX.2-P4090,EVODEX.2-P4224,EVODEX.2-P835",102084075279619340427070392166339826441034690027012892117579293163765569512508
EVODEX.2-Dm562,[#7:2](-[#6:11](-[#6:13])(-[#6:14]=[#8:16])-[#1])(-[#1])-[#1]>>[#7:2](-[#6](-[#6])(-[#6]=[#8])-[#1])(-[#1])-[#1].[#8:16]=[#6:14]-[#6:11](=[#8])-[#6:13],"EVODEX.2-P1044,EVODEX.2-P1418,EVODEX.2-P1714,EVODEX.2-P1852,EVODEX.2-P1988,EVODEX.2-P2118,EVODEX.2-P2313,EVODEX.2-P2401,EVODEX.2-P2706,EVODEX.2-P3030,EVODEX.2-P3105,EVODEX.2-P3159,EVODEX.2-P3351,EVODEX.2-P3481,EVODEX.2-P3485,EVODEX.2-P3504,EVODEX.2-P3565,EVODEX.2-P3905,EVODEX.2-P4092,EVODEX.2-P4150",29018984517969511898073780017786422931947044721539952638402136469949545890626
EVODEX.2-Dm23,[#15:4](=[#8:6])-[#8:2]-[#1]>>[#15:4](=[#8:6])-[#8:2]-[#15](=[#8])(-[#8])-[#8],"EVODEX.2-P108,EVODEX.2-P1085,EVODEX.2-P125,EVODEX.2-P1285,EVODEX.2-P1300,EVODEX.2-P2224,EVODEX.2-P2273,EVODEX.2-P23,EVODEX.2-P2417,EVODEX.2-P3276,EVODEX.2-P339,EVODEX.2-P3598,EVODEX.2-P3790,EVODEX.2-P3915,EVODEX.2-P4039,EVODEX.2-P439,EVODEX.2-P625,EVODEX.2-P698,EVODEX.2-P730",50025437054594512027264450572781825993793505979475048475663976203034249485132
EVODEX.2-Dm140,[#6]-[#16]-[#6:49](=[#8:51])-[#6:52].[#8]=[#15](-[#8:50]-[#1])(-[#8])-[#8]>>[#6:52]-[#6:49](=[#8:51])-[#8:50]-[#1],"EVODEX.2-P1005,EVODEX.2-P1583,EVODEX.2-P166,EVODEX.2-P1706,EVODEX.2-P2010,EVODEX.2-P229,EVODEX.2-P2406,EVODEX.2-P245,EVODEX.2-P3208,EVODEX.2-P3340,EVODEX.2-P3557,EVODEX.2-P4001,EVODEX.2-P4021,EVODEX.2-P658,EVODEX.2-P722",10346158704988081604551407166059870206620584871637620129264949792193404018458
EVODEX.2-Dm195,[#6]-[#16]-[#6:30](=[#8:32])-[#6:33].[#8:62]=[#15:39](-[#8:31]-[#1])(-[#8:63])-[#8:64]>>[#6:33]-[#6:30](=[#8:32])-[#8:31]-[#1].[#15](=[#8])-[#8]-[#15:39](=[#8:62])(-[#8:63])-[#8:64],"EVODEX.2-P1829,EVODEX.2-P1881,EVODEX.2-P2009,EVODEX.2-P2394,EVODEX.2-P244,EVODEX.2-P2498,EVODEX.2-P2963,EVODEX.2-P3207,EVODEX.2-P321,EVODEX.2-P3779,EVODEX.2-P393,EVODEX.2-P4000,EVODEX.2-P4020,EVODEX.2-P623,EVODEX.2-P721",98102178300650286527242399341697442555843460025906507340387475476050542357991
EVODEX.2-Dm199,[#6:3]-[#6:1](-[#8]-[#6])(-[#1:222])-[#1:223].[#8]-[#15](=[#8])(-[#8:2]-[#1])-[#8]>>[#6:3]-[#6:1](-[#8:2]-[#1])(-[#1:222])-[#1:223],"EVODEX.2-P1013,EVODEX.2-P1099,EVODEX.2-P1184,EVODEX.2-P1320,EVODEX.2-P1619,EVODEX.2-P1771,EVODEX.2-P1956,EVODEX.2-P2015,EVODEX.2-P2047,EVODEX.2-P2200,EVODEX.2-P2308,EVODEX.2-P251,EVODEX.2-P3140,EVODEX.2-P3673,EVODEX.2-P641",5384137310375831295548507184556159129982305628337507945553786474987509404045
EVODEX.2-Dm207,[#6:3]-[#16:2]-[#1].[#6]-[#7](-[#6:1](=[#8:50])-[#6:51])-[#1]>>[#6:3]-[#16:2]-[#6:1](=[#8:50])-[#6:51],"EVODEX.2-P1234,EVODEX.2-P1262,EVODEX.2-P1277,EVODEX.2-P1539,EVODEX.2-P1996,EVODEX.2-P2029,EVODEX.2-P2231,EVODEX.2-P260,EVODEX.2-P2793,EVODEX.2-P3134,EVODEX.2-P3383,EVODEX.2-P3384,EVODEX.2-P3453,EVODEX.2-P3879,EVODEX.2-P609",47618018375332571745084810220913017964686473211679011211755574117334199740059
